"dtime per day","Average latency (ms)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","205.702"
"2011-02-02","222.183"
"2011-02-03","225.776"
"2011-02-04","208.215"
"2011-02-05","194.556"
"2011-02-06","187.129"
"2011-02-07","217.196"
"2011-02-08","213.397"
"2011-02-09","222.75"
"2011-02-10","222.584"
"2011-02-11","228.311"
"2011-02-12","213.982"
"2011-02-13","198.375"
"2011-02-14","199.594"
"2011-02-15","216.156"
"2011-02-16","218.947"
"2011-02-17","217.568"
"2011-02-18","218.883"
"2011-02-19","211.567"
"2011-02-20","204.365"
"2011-02-21","221.122"
"2011-02-22","223.482"
"2011-02-23","204.766"
"2011-02-24","202.799"
"2011-02-25","203.654"
"2011-02-26","209.888"
"2011-02-27","223.366"
"2011-02-28","220.067"
"2011-03-01","207.081"
"2011-03-02","204.435"
"2011-03-03","196.349"
"2011-03-04","199.101"
"2011-03-05","193.764"
"2011-03-06","180.882"
"2011-03-07","180.462"
"2011-03-08","154.986"
"2011-03-09","168.737"
"2011-03-10","213.572"
"2011-03-11","219.443"
"2011-03-12","200.139"
"2011-03-13","209.196"
"2011-03-14","215.404"
"2011-03-15","210.357"
"2011-03-16","194.73"
"2011-03-17","186.314"
"2011-03-18","188.223"
"2011-03-19","183.362"
"2011-03-20","197.575"
"2011-03-21","189.774"
"2011-03-22","191.54"
"2011-03-23","192.702"
"2011-03-24","191.646"
"2011-03-25","176.151"
"2011-03-26","152.919"
"2011-03-27","147.223"
"2011-03-28","176.752"
"2011-03-29","175.086"
"2011-03-30","170.717"
"2011-03-31","181.025"
"2011-04-01","169.131"
"2011-04-02","187.797"
"2011-04-03","199.452"
