"dtime per day","Average speed (Mbps)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","19.892"
"2011-02-02","19.774"
"2011-02-03","19.611"
"2011-02-04","19.809"
"2011-02-05","19.609"
"2011-02-06","19.437"
"2011-02-07","19.705"
"2011-02-08","19.588"
"2011-02-09","19.724"
"2011-02-10","19.637"
"2011-02-11","19.641"
"2011-02-12","19.543"
"2011-02-13","20.001"
"2011-02-14","20.033"
"2011-02-15","20.03"
"2011-02-16","20.163"
"2011-02-17","20.183"
"2011-02-18","20.107"
"2011-02-19","19.958"
"2011-02-20","19.978"
"2011-02-21","19.755"
"2011-02-22","19.603"
"2011-02-23","19.65"
"2011-02-24","19.798"
"2011-02-25","19.731"
"2011-02-26","19.619"
"2011-02-27","19.508"
"2011-02-28","19.745"
"2011-03-01","19.675"
"2011-03-02","19.491"
"2011-03-03","19.311"
"2011-03-04","19.307"
"2011-03-05","19.658"
"2011-03-06","19.514"
"2011-03-07","19.537"
"2011-03-08","19.899"
"2011-03-09","19.604"
"2011-03-10","19.193"
"2011-03-11","19.126"
"2011-03-12","19.323"
"2011-03-13","19.167"
"2011-03-14","19.334"
"2011-03-15","19.308"
"2011-03-16","19.001"
"2011-03-17","19.015"
"2011-03-18","18.953"
"2011-03-19","18.881"
"2011-03-20","18.793"
"2011-03-21","18.905"
"2011-03-22","18.906"
"2011-03-23","18.863"
"2011-03-24","18.946"
"2011-03-25","19.086"
"2011-03-26","19.205"
"2011-03-27","19.275"
"2011-03-28","19.272"
"2011-03-29","19.245"
"2011-03-30","19.19"
"2011-03-31","18.994"
"2011-04-01","18.977"
"2011-04-02","18.999"
"2011-04-03","19.268"
