"dtime per month","Average latency (ms)"
"2011-01-01",null
"2011-02-01","46.31"
"2011-03-01","44.177"
"2011-04-01","43.285"
"2011-05-01","42.604"
"2011-06-01","42.54"
"2011-07-01","42.544"
"2011-08-01","43.463"
"2011-09-01","42.869"
"2011-10-01","43.559"
"2011-11-01","43.802"
"2011-12-01","49.311"
"2012-01-01","56.44"
"2012-02-01","60.671"
"2012-03-01","58.113"
"2012-04-01","43.123"
"2012-05-01","42.305"
"2012-06-01","44.265"
"2012-07-01","43.644"
"2012-08-01","41.723"
"2012-09-01","41.561"
"2012-10-01","40.672"
"2012-11-01","40.441"
"2012-12-01","42.954"
"2013-01-01","45.265"
"2013-02-01","45.772"
"2013-03-01","47.045"
"2013-04-01","47.057"
"2013-05-01","46.741"
"2013-06-01","46.259"
"2013-07-01","46.459"
"2013-08-01","46.812"
"2013-09-01","45.232"
"2013-10-01","44.552"
"2013-11-01","44.741"
"2013-12-01","45.99"
"2014-01-01","47.354"
"2014-02-01","45.835"
"2014-03-01","43.703"
"2014-04-01","42.463"
"2014-05-01","41.425"
"2014-06-01","41.219"
"2014-07-01","39.856"
"2014-08-01","36.931"
"2014-09-01","37.668"
"2014-10-01","38.485"
"2014-11-01","38.446"
"2014-12-01","38.452"
"2015-01-01","40.07"
"2015-02-01","40.59"
"2015-03-01","41.337"
"2015-04-01","41.182"
"2015-05-01","41.166"
"2015-06-01","40.509"
"2015-07-01","39.714"
"2015-08-01","40.068"
"2015-09-01","40.88"
"2015-10-01","41.178"
"2015-11-01","41.717"
"2015-12-01","41.897"
"2016-01-01","42.515"
"2016-02-01","42.236"
"2016-03-01","41.258"
"2016-04-01","40.965"
"2016-05-01","41.888"
"2016-06-01","42.547"
"2016-07-01","42.416"
"2016-08-01","42.545"
"2016-09-01","42.657"
"2016-10-01","44.376"
"2016-11-01","45.834"
"2016-12-01","46.385"
"2017-01-01","46.129"
"2017-02-01","46.365"
"2017-03-01","47.986"
"2017-04-01","49.631"
"2017-05-01","48.953"
"2017-06-01","49.92"
"2017-07-01","50.282"
"2017-08-01","49.301"
"2017-09-01","46.393"
"2017-10-01","45.406"
"2017-11-01","45.966"
"2017-12-01","47.006"
"2018-01-01","46.652"
"2018-02-01","46.339"
"2018-03-01","44.949"
"2018-04-01","41.929"
"2018-05-01","42.011"
"2018-06-01","42.051"
"2018-07-01","41.118"
"2018-08-01","40.439"
"2018-09-01","40.359"
"2018-10-01","43.328"
"2018-11-01","43.101"
"2018-12-01","46.256"
"2019-01-01","49.44"
"2019-02-01","53.179"
"2019-03-01","50.1"
"2019-04-01","47.771"
"2019-05-01","44.573"
"2019-06-01","42.497"
"2019-07-01","40.415"
"2019-08-01","40.171"
"2019-09-01","39.706"
"2019-10-01","40.82"
"2019-11-01","41.253"
"2019-12-01","44.469"
"2020-01-01","44.057"
"2020-02-01","44.303"
"2020-03-01","47.356"
"2020-04-01","50.6"
"2020-05-01","48.575"
"2020-06-01","47.24"
"2020-07-01","47.559"
"2020-08-01","41.769"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","40.699"
"2020-12-01","40.717"
"2021-01-01","40.542"
"2021-02-01","40.683"
"2021-03-01","38.258"
"2021-04-01","36.779"
"2021-05-01","35.994"
"2021-06-01","39.201"
"2021-07-01","35.515"
"2021-08-01","34.873"
"2021-09-01","34.06"
"2021-10-01","33.969"
"2021-11-01","33.687"
"2021-12-01","34.373"
"2022-01-01","34.851"
"2022-02-01","34.238"
"2022-03-01","34.16"
"2022-04-01","33.517"
"2022-05-01","32.972"
"2022-06-01","33.21"
"2022-07-01","33.006"
"2022-08-01","32.645"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","32.906"
"2022-12-01","32.9"
"2023-01-01","32.507"
"2023-02-01","32.144"
"2023-03-01",null
"2023-04-01","31.308"
"2023-05-01","31.776"
"2023-06-01","33.927"
"2023-07-01","32.193"
