"dtime per month","Average latency (ms)"
"2011-01-01",null
"2011-02-01","47.5"
"2011-03-01","46.577"
"2011-04-01","45.708"
"2011-05-01","45.397"
"2011-06-01","44.873"
"2011-07-01","44.811"
"2011-08-01","45.627"
"2011-09-01","44.55"
"2011-10-01","45.872"
"2011-11-01","46.138"
"2011-12-01","51.996"
"2012-01-01","58.38"
"2012-02-01","63.666"
"2012-03-01","60.611"
"2012-04-01","46.343"
"2012-05-01","44.944"
"2012-06-01","46.352"
"2012-07-01","45.595"
"2012-08-01","44.683"
"2012-09-01","45.38"
"2012-10-01","44.722"
"2012-11-01","45.117"
"2012-12-01","46.946"
"2013-01-01","49.093"
"2013-02-01","49.331"
"2013-03-01","49.558"
"2013-04-01","48.895"
"2013-05-01","49.317"
"2013-06-01","49.046"
"2013-07-01","49.488"
"2013-08-01","48.999"
"2013-09-01","48.017"
"2013-10-01","46.868"
"2013-11-01","47.437"
"2013-12-01","49.127"
"2014-01-01","50.922"
"2014-02-01","49.415"
"2014-03-01","47.185"
"2014-04-01","45.712"
"2014-05-01","44.564"
"2014-06-01","44.87"
"2014-07-01","43.758"
"2014-08-01","40.959"
"2014-09-01","41.528"
"2014-10-01","41.655"
"2014-11-01","41.61"
"2014-12-01","41.6"
"2015-01-01","42.648"
"2015-02-01","43.234"
"2015-03-01","43.81"
"2015-04-01","43.448"
"2015-05-01","43.151"
"2015-06-01","42.452"
"2015-07-01","41.521"
"2015-08-01","41.666"
"2015-09-01","42.358"
"2015-10-01","42.736"
"2015-11-01","43.202"
"2015-12-01","43.511"
"2016-01-01","44.469"
"2016-02-01","43.73"
"2016-03-01","43.007"
"2016-04-01","42.58"
"2016-05-01","43.365"
"2016-06-01","43.747"
"2016-07-01","43.855"
"2016-08-01","44.36"
"2016-09-01","44.047"
"2016-10-01","44.889"
"2016-11-01","46.174"
"2016-12-01","46.533"
"2017-01-01","45.48"
"2017-02-01","45.866"
"2017-03-01","46.448"
"2017-04-01","47.759"
"2017-05-01","46.74"
"2017-06-01","47.552"
"2017-07-01","48.496"
"2017-08-01","47.487"
"2017-09-01","45.697"
"2017-10-01","45.437"
"2017-11-01","46.212"
"2017-12-01","47.041"
"2018-01-01","45.519"
"2018-02-01","45.047"
"2018-03-01","44.104"
"2018-04-01","41.878"
"2018-05-01","41.916"
"2018-06-01","41.951"
"2018-07-01","41.814"
"2018-08-01","41.581"
"2018-09-01","42.594"
"2018-10-01","44.992"
"2018-11-01","45.451"
"2018-12-01","47.732"
"2019-01-01","50.592"
"2019-02-01","54.183"
"2019-03-01","50.274"
"2019-04-01","47.669"
"2019-05-01","44.823"
"2019-06-01","43.316"
"2019-07-01","41.047"
"2019-08-01","40.489"
"2019-09-01","40.113"
"2019-10-01","41.147"
"2019-11-01","42.254"
"2019-12-01","46.23"
"2020-01-01","45.784"
"2020-02-01","45.863"
"2020-03-01","48.247"
"2020-04-01","50.091"
"2020-05-01","48.632"
"2020-06-01","47.452"
"2020-07-01","46.552"
"2020-08-01","40.564"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","42.506"
"2020-12-01","42.547"
"2021-01-01","40.183"
"2021-02-01","40.321"
"2021-03-01","38.403"
"2021-04-01","37.801"
"2021-05-01","36.26"
"2021-06-01","39.177"
"2021-07-01","35.907"
"2021-08-01","35.479"
"2021-09-01","35.508"
"2021-10-01","34.925"
"2021-11-01","34.661"
"2021-12-01","34.851"
"2022-01-01","35.533"
"2022-02-01","35.348"
"2022-03-01","35.407"
"2022-04-01","34.892"
"2022-05-01","34.43"
"2022-06-01","35.015"
"2022-07-01","34.824"
"2022-08-01","35.064"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","35.731"
"2022-12-01","35.66"
"2023-01-01","35.382"
"2023-02-01","34.777"
"2023-03-01",null
"2023-04-01","32.57"
"2023-05-01","32.763"
"2023-06-01","35.696"
"2023-07-01","33.984"
