"dtime per month","Average latency (ms)"
"2011-01-01",null
"2011-02-01","2,081.079"
"2011-03-01","2,208.307"
"2011-04-01","2,268.178"
"2011-05-01","2,317.528"
"2011-06-01","2,398.416"
"2011-07-01","2,385.778"
"2011-08-01","2,283.909"
"2011-09-01","1,509.682"
"2011-10-01","1,171.284"
"2011-11-01","1,188.375"
"2011-12-01","1,187.333"
"2012-01-01","1,207.812"
"2012-02-01","1,191.288"
"2012-03-01","1,183.19"
"2012-04-01","1,174.359"
"2012-05-01","1,173.28"
"2012-06-01","1,174.22"
"2012-07-01","1,163.994"
"2012-08-01","1,163.755"
"2012-09-01","1,166.448"
"2012-10-01","1,147.114"
"2012-11-01","1,142.671"
"2012-12-01","1,152.765"
"2013-01-01","1,128.408"
"2013-02-01","1,117.074"
"2013-03-01","1,101.659"
"2013-04-01","1,093.856"
"2013-05-01","1,091.663"
"2013-06-01","1,089.939"
"2013-07-01","1,097.168"
"2013-08-01","1,081.594"
"2013-09-01","1,101.458"
"2013-10-01","1,098.684"
"2013-11-01","1,097.61"
"2013-12-01","1,099.205"
"2014-01-01","1,094.786"
"2014-02-01","1,091.633"
"2014-03-01","1,029.226"
"2014-04-01","1,025.817"
"2014-05-01","1,022.843"
"2014-06-01","1,021.53"
"2014-07-01","1,006.348"
"2014-08-01","965.043"
"2014-09-01","969.345"
"2014-10-01","960.302"
"2014-11-01","946.762"
"2014-12-01","935.53"
"2015-01-01","1,082.869"
"2015-02-01","1,087.818"
"2015-03-01","1,110.098"
"2015-04-01","1,104.672"
"2015-05-01","1,109.655"
"2015-06-01","1,097.849"
"2015-07-01","1,091.904"
"2015-08-01","1,091.044"
"2015-09-01","1,055.863"
"2015-10-01","1,038.465"
"2015-11-01","1,055.746"
"2015-12-01","1,061.856"
"2016-01-01","865.699"
"2016-02-01","868.576"
"2016-03-01","860.974"
"2016-04-01","892.894"
"2016-05-01","891.857"
"2016-06-01","884.329"
"2016-07-01",null
"2016-08-01","947.361"
"2016-09-01","959.939"
"2016-10-01","966.199"
"2016-11-01","956.365"
"2016-12-01","961.763"
"2017-01-01","1,163.058"
"2017-02-01","1,179.424"
"2017-03-01","1,177.103"
"2017-04-01","1,162.109"
"2017-05-01","1,128.581"
"2017-06-01","1,092.153"
"2017-07-01","1,098.404"
"2017-08-01","1,113.589"
"2017-09-01","1,047.202"
"2017-10-01","1,000.818"
"2017-11-01","1,002.55"
"2017-12-01","985.608"
"2018-01-01","908.988"
"2018-02-01","892.171"
"2018-03-01","910.279"
"2018-04-01","930.952"
"2018-05-01","932.711"
"2018-06-01","888.382"
"2018-07-01","832.437"
"2018-08-01","813.25"
"2018-09-01","774.599"
"2018-10-01","772.703"
"2018-11-01","765.883"
"2018-12-01","770.434"
"2019-01-01","779.306"
"2019-02-01","777.683"
"2019-03-01","762.998"
"2019-04-01","758.323"
"2019-05-01","784.396"
"2019-06-01","743.913"
"2019-07-01","734.525"
"2019-08-01","721.716"
"2019-09-01","711.266"
"2019-10-01","704.068"
"2019-11-01","677.849"
"2019-12-01","716.894"
"2020-01-01",null
"2020-02-01","758.152"
"2020-03-01","754.311"
"2020-04-01","751.276"
"2020-05-01","727.193"
"2020-06-01","779.173"
"2020-07-01","810.791"
"2020-08-01","740.383"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","643.417"
"2020-12-01","636.071"
"2021-01-01","664.7"
"2021-02-01","683.139"
"2021-03-01","663.058"
"2021-04-01","684.041"
"2021-05-01","739.144"
"2021-06-01","728.16"
"2021-07-01","735.478"
"2021-08-01","746.243"
"2021-09-01","740.932"
"2021-10-01","734.881"
"2021-11-01","709.257"
"2021-12-01","703.395"
"2022-01-01","695.048"
"2022-02-01","671.707"
"2022-03-01","668.122"
"2022-04-01","659.856"
"2022-05-01","642.202"
"2022-06-01","630.761"
"2022-07-01","619.926"
"2022-08-01","619.121"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","554.193"
"2022-12-01","553.119"
"2023-01-01","568.151"
"2023-02-01","548.691"
"2023-03-01",null
"2023-04-01","471.898"
"2023-05-01","523.217"
"2023-06-01","467.89"
"2023-07-01","459.638"
