"dtime per month","Average latency (ms)"
"2011-01-01",null
"2011-02-01","257.552"
"2011-03-01","240.875"
"2011-04-01","242.329"
"2011-05-01","242.783"
"2011-06-01","248.124"
"2011-07-01","237.548"
"2011-08-01","236.702"
"2011-09-01","267.213"
"2011-10-01","287.406"
"2011-11-01","299.343"
"2011-12-01","307.765"
"2012-01-01","352.239"
"2012-02-01","359.191"
"2012-03-01","363.223"
"2012-04-01","331.042"
"2012-05-01","324.671"
"2012-06-01","327.029"
"2012-07-01","331.031"
"2012-08-01","324.853"
"2012-09-01","325.006"
"2012-10-01","320.675"
"2012-11-01","324.066"
"2012-12-01","320.284"
"2013-01-01","335.46"
"2013-02-01","333.272"
"2013-03-01","327.727"
"2013-04-01","302.535"
"2013-05-01","279.501"
"2013-06-01","281.143"
"2013-07-01","275.936"
"2013-08-01","280.313"
"2013-09-01","275.532"
"2013-10-01","270.329"
"2013-11-01","267.63"
"2013-12-01","263.15"
"2014-01-01","267.638"
"2014-02-01","271.659"
"2014-03-01","268.612"
"2014-04-01","271.609"
"2014-05-01","273.932"
"2014-06-01","279.041"
"2014-07-01","282.65"
"2014-08-01","290.306"
"2014-09-01","320.634"
"2014-10-01","329.396"
"2014-11-01","335.293"
"2014-12-01","333.211"
"2015-01-01","334.204"
"2015-02-01","334.387"
"2015-03-01","332.123"
"2015-04-01","348.038"
"2015-05-01","391.106"
"2015-06-01","380.559"
"2015-07-01","312.821"
"2015-08-01","304.514"
"2015-09-01","291.91"
"2015-10-01","316.825"
"2015-11-01","290.9"
"2015-12-01","286.291"
"2016-01-01","286.243"
"2016-02-01","275.304"
"2016-03-01","363.465"
"2016-04-01","302.412"
"2016-05-01","275.962"
"2016-06-01","338.337"
"2016-07-01","260.285"
"2016-08-01","347.042"
"2016-09-01","396.401"
"2016-10-01","385.457"
"2016-11-01","377.524"
"2016-12-01","385.185"
"2017-01-01","371.965"
"2017-02-01","385.682"
"2017-03-01","370.015"
"2017-04-01","363.041"
"2017-05-01","363.276"
"2017-06-01","337.856"
"2017-07-01","332.763"
"2017-08-01","327.522"
"2017-09-01","319.877"
"2017-10-01","315.887"
"2017-11-01","307.483"
"2017-12-01","302.035"
"2018-01-01","291.681"
"2018-02-01","274.094"
"2018-03-01","281.053"
"2018-04-01","271.989"
"2018-05-01","268.34"
"2018-06-01","272.376"
"2018-07-01","329.704"
"2018-08-01","342.507"
"2018-09-01","310.173"
"2018-10-01","298.376"
"2018-11-01","285.124"
"2018-12-01","282.572"
"2019-01-01","286.097"
"2019-02-01","294.206"
"2019-03-01","299.395"
"2019-04-01","305.034"
"2019-05-01","316.974"
"2019-06-01","263.155"
"2019-07-01","269.52"
"2019-08-01","273.164"
"2019-09-01","267.433"
"2019-10-01","266.095"
"2019-11-01","250.77"
"2019-12-01","233.907"
"2020-01-01",null
"2020-02-01","235.665"
"2020-03-01","234.443"
"2020-04-01","238.551"
"2020-05-01","234.223"
"2020-06-01","232.668"
"2020-07-01","236.051"
"2020-08-01","247.393"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","197.032"
"2020-12-01","201.099"
"2021-01-01","211.156"
"2021-02-01","201.18"
"2021-03-01","196.14"
"2021-04-01","197.693"
"2021-05-01","201.408"
"2021-06-01","202.238"
"2021-07-01","205.187"
"2021-08-01","196.241"
"2021-09-01","189.602"
"2021-10-01","184.659"
"2021-11-01","205.439"
"2021-12-01","228.798"
"2022-01-01","227.489"
"2022-02-01","225.823"
"2022-03-01","218.657"
"2022-04-01","215.091"
"2022-05-01","213.576"
"2022-06-01","209.756"
"2022-07-01","206.62"
"2022-08-01","201.045"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","187.795"
"2022-12-01","187.245"
"2023-01-01","184.494"
"2023-02-01","181.632"
"2023-03-01",null
"2023-04-01","147.259"
"2023-05-01","127.116"
"2023-06-01","129.046"
"2023-07-01","122.591"
