"dtime per month","Average latency (ms)"
"2011-01-01",null
"2011-02-01","212.898"
"2011-03-01","188.573"
"2011-04-01","188.259"
"2011-05-01","190.464"
"2011-06-01","209.132"
"2011-07-01","187.734"
"2011-08-01","176.33"
"2011-09-01","210.944"
"2011-10-01","222.942"
"2011-11-01","216.067"
"2011-12-01","214.465"
"2012-01-01","236.771"
"2012-02-01","267.962"
"2012-03-01","295.699"
"2012-04-01","220.7"
"2012-05-01","220.408"
"2012-06-01","222.715"
"2012-07-01","217.715"
"2012-08-01","220.179"
"2012-09-01","230.955"
"2012-10-01","234.035"
"2012-11-01","233.132"
"2012-12-01","227.078"
"2013-01-01","222.213"
"2013-02-01","215.274"
"2013-03-01","213.588"
"2013-04-01","206.616"
"2013-05-01","203.177"
"2013-06-01","194.393"
"2013-07-01","193.702"
"2013-08-01","195.246"
"2013-09-01","200.154"
"2013-10-01","211.203"
"2013-11-01","209.68"
"2013-12-01","210.522"
"2014-01-01","209.178"
"2014-02-01","207.028"
"2014-03-01","203.328"
"2014-04-01","196.239"
"2014-05-01","191.678"
"2014-06-01","197.071"
"2014-07-01","194.914"
"2014-08-01","188.811"
"2014-09-01","189.482"
"2014-10-01","181.792"
"2014-11-01","177.723"
"2014-12-01","177.287"
"2015-01-01","174.854"
"2015-02-01","172.334"
"2015-03-01","169.4"
"2015-04-01","166.316"
"2015-05-01","166.639"
"2015-06-01","165.985"
"2015-07-01","162.514"
"2015-08-01","160.679"
"2015-09-01","155.128"
"2015-10-01","159.055"
"2015-11-01","158.525"
"2015-12-01","152.594"
"2016-01-01","148.555"
"2016-02-01","147.824"
"2016-03-01","145.221"
"2016-04-01","141.259"
"2016-05-01","140.813"
"2016-06-01","139.16"
"2016-07-01","134.04"
"2016-08-01","142.24"
"2016-09-01","143.823"
"2016-10-01","137.704"
"2016-11-01","133.145"
"2016-12-01","131.284"
"2017-01-01","136.764"
"2017-02-01","133.493"
"2017-03-01","130.358"
"2017-04-01","129.766"
"2017-05-01","124.277"
"2017-06-01","120.195"
"2017-07-01","116.223"
"2017-08-01","115.328"
"2017-09-01","114.046"
"2017-10-01","117.607"
"2017-11-01","115.647"
"2017-12-01","115.795"
"2018-01-01","116.088"
"2018-02-01","114.247"
"2018-03-01","113.315"
"2018-04-01","112.594"
"2018-05-01","111.179"
"2018-06-01","109.399"
"2018-07-01","107.623"
"2018-08-01","107.82"
"2018-09-01","98.713"
"2018-10-01","94.563"
"2018-11-01","93.727"
"2018-12-01","94.104"
"2019-01-01","99.259"
"2019-02-01","98.974"
"2019-03-01","95.934"
"2019-04-01","96.731"
"2019-05-01","95.623"
"2019-06-01","90.653"
"2019-07-01","89.109"
"2019-08-01","83.619"
"2019-09-01","81.522"
"2019-10-01","82.866"
"2019-11-01","79.873"
"2019-12-01","83.059"
"2020-01-01",null
"2020-02-01","99.778"
"2020-03-01","99.786"
"2020-04-01","101.688"
"2020-05-01","101.885"
"2020-06-01","96.919"
"2020-07-01","92.944"
"2020-08-01","81.689"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","75.547"
"2020-12-01","77.305"
"2021-01-01","93.054"
"2021-02-01","90.423"
"2021-03-01","87.949"
"2021-04-01","88.104"
"2021-05-01","87.315"
"2021-06-01","86.065"
"2021-07-01","84.63"
"2021-08-01","83.31"
"2021-09-01","86.786"
"2021-10-01","90.273"
"2021-11-01","90.385"
"2021-12-01","86.632"
"2022-01-01","89.359"
"2022-02-01","86.926"
"2022-03-01","90.568"
"2022-04-01","89.408"
"2022-05-01","88.503"
"2022-06-01","89.293"
"2022-07-01","85.359"
"2022-08-01","82.749"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","81.009"
"2022-12-01","74.334"
"2023-01-01","79.205"
"2023-02-01","83.061"
"2023-03-01",null
"2023-04-01","70.736"
"2023-05-01","68.541"
"2023-06-01","85.429"
"2023-07-01","76.01"
