"dtime per month","Average speed (Mbps)"
"2011-01-01",null
"2011-02-01","3.211"
"2011-03-01","2.978"
"2011-04-01","3.039"
"2011-05-01","3.12"
"2011-06-01","3.188"
"2011-07-01","3.233"
"2011-08-01","3.25"
"2011-09-01","3.245"
"2011-10-01","3.197"
"2011-11-01","3.274"
"2011-12-01","3.454"
"2012-01-01","3.561"
"2012-02-01","3.517"
"2012-03-01","3.918"
"2012-04-01","4.385"
"2012-05-01","4.426"
"2012-06-01","4.447"
"2012-07-01","4.516"
"2012-08-01","4.618"
"2012-09-01","4.591"
"2012-10-01","4.653"
"2012-11-01","4.6"
"2012-12-01","4.624"
"2013-01-01","4.843"
"2013-02-01","4.966"
"2013-03-01","5.113"
"2013-04-01","5.335"
"2013-05-01","5.485"
"2013-06-01","5.543"
"2013-07-01","5.865"
"2013-08-01","6.141"
"2013-09-01","6.327"
"2013-10-01","6.435"
"2013-11-01","6.565"
"2013-12-01","6.675"
"2014-01-01","6.726"
"2014-02-01","6.753"
"2014-03-01","6.649"
"2014-04-01","6.655"
"2014-05-01","6.753"
"2014-06-01","6.88"
"2014-07-01","6.99"
"2014-08-01","8.157"
"2014-09-01","8.947"
"2014-10-01","9.393"
"2014-11-01","9.717"
"2014-12-01","9.871"
"2015-01-01","10.644"
"2015-02-01","10.589"
"2015-03-01","10.791"
"2015-04-01","11.099"
"2015-05-01","11.353"
"2015-06-01","11.606"
"2015-07-01","11.753"
"2015-08-01","11.977"
"2015-09-01","12.134"
"2015-10-01","12.188"
"2015-11-01","12.389"
"2015-12-01","12.445"
"2016-01-01","11.513"
"2016-02-01","11.888"
"2016-03-01","12.067"
"2016-04-01","12.35"
"2016-05-01","12.497"
"2016-06-01","12.747"
"2016-07-01","12.862"
"2016-08-01","13.011"
"2016-09-01","14.379"
"2016-10-01","14.473"
"2016-11-01","14.847"
"2016-12-01","14.956"
"2017-01-01","16.985"
"2017-02-01","16.275"
"2017-03-01","16.064"
"2017-04-01","16.472"
"2017-05-01","17.157"
"2017-06-01","17.439"
"2017-07-01","18.164"
"2017-08-01","19.518"
"2017-09-01","20.538"
"2017-10-01","20.886"
"2017-11-01","21.092"
"2017-12-01","22.821"
"2018-01-01","24.58"
"2018-02-01","25.289"
"2018-03-01","25.069"
"2018-04-01","24.912"
"2018-05-01","25.747"
"2018-06-01","26.504"
"2018-07-01","26.356"
"2018-08-01","28.687"
"2018-09-01","33.569"
"2018-10-01","34.671"
"2018-11-01","35.989"
"2018-12-01","36.96"
"2019-01-01","36.911"
"2019-02-01","37.465"
"2019-03-01","38.23"
"2019-04-01","39.473"
"2019-05-01","42.999"
"2019-06-01","43.804"
"2019-07-01","45.346"
"2019-08-01","48.409"
"2019-09-01","47.859"
"2019-10-01","48.963"
"2019-11-01","50.087"
"2019-12-01","49.704"
"2020-01-01","50.296"
"2020-02-01","51.529"
"2020-03-01","52.894"
"2020-04-01","53.463"
"2020-05-01",null
"2020-06-01",null
"2020-07-01","61.328"
"2020-08-01","70.002"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","70.525"
"2020-12-01","71.695"
"2021-01-01","67.056"
"2021-02-01","72.929"
"2021-03-01","69.816"
"2021-04-01","53.144"
"2021-05-01","81.931"
"2021-06-01","81.127"
"2021-07-01","87.709"
"2021-08-01","90.351"
"2021-09-01","88.317"
"2021-10-01","90.483"
"2021-11-01","92.585"
"2021-12-01","95.544"
"2022-01-01","95.262"
"2022-02-01","94.328"
"2022-03-01","96.725"
"2022-04-01","100.094"
"2022-05-01","102.792"
"2022-06-01","105.322"
"2022-07-01","108.811"
"2022-08-01","109.274"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","105.922"
"2022-12-01","109.014"
"2023-01-01","109.737"
"2023-02-01","115.284"
"2023-03-01",null
"2023-04-01","128.806"
"2023-05-01","169.915"
"2023-06-01","127.646"
"2023-07-01","141.151"
