"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2011-01-01",null,null,null
"2011-02-01","6.41%","6.19%","87.40%"
"2011-03-01","12.57%","5.50%","81.93%"
"2011-04-01","9.94%","5.69%","84.36%"
"2011-05-01","7.89%","5.89%","86.23%"
"2011-06-01","3.64%","6.35%","90.01%"
"2011-07-01","3.51%","6.55%","89.94%"
"2011-08-01","7.16%","6.23%","86.61%"
"2011-09-01","4.77%","6.63%","88.60%"
"2011-10-01","3.29%","6.78%","89.93%"
"2011-11-01","3.48%","6.85%","89.67%"
"2011-12-01","3.87%","7.55%","88.58%"
"2012-01-01","1.77%","7.85%","90.38%"
"2012-02-01","1.68%","7.43%","90.89%"
"2012-03-01","2.76%","7.31%","89.93%"
"2012-04-01","4.14%","8.91%","86.96%"
"2012-05-01","4.18%","8.71%","87.11%"
"2012-06-01","4.40%","8.39%","87.20%"
"2012-07-01","4.38%","8.50%","87.12%"
"2012-08-01","4.70%","8.71%","86.59%"
"2012-09-01","4.60%","9.32%","86.08%"
"2012-10-01","4.86%","9.85%","85.29%"
"2012-11-01","5.36%","10.12%","84.52%"
"2012-12-01","4.51%","9.71%","85.78%"
"2013-01-01","5.33%","10.86%","83.81%"
"2013-02-01","5.22%","11.64%","83.14%"
"2013-03-01","5.77%","11.93%","82.31%"
"2013-04-01","6.75%","12.51%","80.74%"
"2013-05-01","7.02%","13.45%","79.53%"
"2013-06-01","7.23%","13.44%","79.33%"
"2013-07-01","8.40%","13.42%","78.19%"
"2013-08-01","9.43%","13.48%","77.09%"
"2013-09-01","9.78%","13.81%","76.41%"
"2013-10-01","9.93%","14.32%","75.75%"
"2013-11-01","9.81%","14.66%","75.53%"
"2013-12-01","9.72%","15.38%","74.90%"
"2014-01-01","9.76%","15.70%","74.54%"
"2014-02-01","9.41%","15.60%","74.99%"
"2014-03-01","8.98%","15.48%","75.54%"
"2014-04-01","9.13%","15.87%","75.00%"
"2014-05-01","9.35%","16.47%","74.18%"
"2014-06-01","8.72%","17.32%","73.96%"
