"dtime per week","Average speed (Mbps)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","15.581"
"2011-02-07","15.787"
"2011-02-14","16.088"
"2011-02-21","16.111"
"2011-02-28","15.821"
"2011-03-07","15.563"
"2011-03-14","15.59"
"2011-03-21","15.604"
"2011-03-28","15.757"
"2011-04-04","15.746"
"2011-04-11","15.866"
"2011-04-18","15.758"
"2011-04-25","15.948"
"2011-05-02","15.928"
"2011-05-09","15.916"
"2011-05-16","15.855"
"2011-05-23","16.004"
"2011-05-30","15.988"
"2011-06-06","15.989"
"2011-06-13","16.048"
"2011-06-20","16.02"
"2011-06-27","16.132"
"2011-07-04","16.227"
"2011-07-11","16.274"
"2011-07-18","16.3"
"2011-07-25","16.142"
"2011-08-01","16.173"
"2011-08-08","16.214"
"2011-08-15","16.228"
"2011-08-22","16.232"
"2011-08-29","16.19"
"2011-09-05","16.171"
"2011-09-12","16.966"
"2011-09-19","17.616"
"2011-09-26","17.608"
"2011-10-03","17.738"
"2011-10-10","17.684"
"2011-10-17","17.715"
"2011-10-24","17.851"
"2011-10-31","17.813"
"2011-11-07","17.864"
"2011-11-14","18.061"
"2011-11-21","18.16"
"2011-11-28","18.317"
"2011-12-05","18.539"
"2011-12-12","18.621"
"2011-12-19","18.673"
"2011-12-26","18.444"
"2012-01-02","18.251"
"2012-01-09","18.36"
"2012-01-16","18.305"
"2012-01-23","18.524"
"2012-01-30","18.858"
"2012-02-06","18.801"
"2012-02-13","18.799"
"2012-02-20","18.996"
"2012-02-27","19.181"
"2012-03-05","19.187"
"2012-03-12","19.35"
"2012-03-19","19.502"
"2012-03-26","19.806"
"2012-04-02","20.128"
"2012-04-09","19.998"
"2012-04-16","20.199"
"2012-04-23","20.245"
"2012-04-30","20.222"
"2012-05-07","20.347"
"2012-05-14","20.413"
"2012-05-21","20.724"
"2012-05-28","20.788"
"2012-06-04","20.811"
"2012-06-11","20.739"
"2012-06-18","20.774"
"2012-06-25","20.758"
"2012-07-02","20.712"
"2012-07-09","20.7"
"2012-07-16","20.553"
"2012-07-23","20.576"
"2012-07-30","20.784"
"2012-08-06","20.878"
"2012-08-13","20.868"
"2012-08-20","20.92"
"2012-08-27","21.362"
"2012-09-03","21.432"
"2012-09-10","21.475"
"2012-09-17","21.392"
"2012-09-24","21.538"
"2012-10-01","21.664"
"2012-10-08","21.702"
"2012-10-15","21.759"
"2012-10-22","21.817"
"2012-10-29","21.304"
"2012-11-05","21.615"
"2012-11-12","21.675"
"2012-11-19","21.8"
"2012-11-26","21.675"
"2012-12-03","21.804"
"2012-12-10","21.802"
"2012-12-17","21.852"
"2012-12-24","21.75"
"2012-12-31","21.271"
"2013-01-07","21.437"
"2013-01-14","21.483"
"2013-01-21","21.639"
"2013-01-28","21.869"
"2013-02-04","22.03"
"2013-02-11","22.235"
"2013-02-18","22.228"
"2013-02-25","22.305"
"2013-03-04","22.551"
"2013-03-11","22.462"
"2013-03-18","22.661"
"2013-03-25","23.067"
"2013-04-01","23.379"
"2013-04-08","23.742"
"2013-04-15","23.951"
"2013-04-22","24.404"
"2013-04-29","24.62"
"2013-05-06","24.657"
"2013-05-13","24.863"
"2013-05-20","24.891"
"2013-05-27","24.791"
"2013-06-03","24.918"
"2013-06-10","25.08"
"2013-06-17","25.246"
"2013-06-24","25.37"
"2013-07-01","25.451"
"2013-07-08","25.535"
"2013-07-15","26.148"
"2013-07-22","26.252"
"2013-07-29","26.407"
"2013-08-05","26.594"
"2013-08-12","26.783"
"2013-08-19","26.862"
"2013-08-26","27.284"
"2013-09-02","27.732"
"2013-09-09","28.429"
"2013-09-16","28.394"
"2013-09-23","28.739"
"2013-09-30","28.932"
"2013-10-07","29.038"
"2013-10-14","29.191"
"2013-10-21","29.427"
"2013-10-28","29.656"
"2013-11-04","29.566"
"2013-11-11","29.54"
"2013-11-18","29.62"
"2013-11-25","29.877"
"2013-12-02","29.825"
"2013-12-09","29.908"
"2013-12-16","30.072"
"2013-12-23","29.688"
"2013-12-30","29.574"
"2014-01-06","29.826"
"2014-01-13","30.113"
"2014-01-20","29.791"
"2014-01-27","30.103"
"2014-02-03","30.287"
"2014-02-10","30.33"
"2014-02-17","30.568"
"2014-02-24","30.707"
"2014-03-03","30.925"
"2014-03-10","30.816"
"2014-03-17","30.924"
"2014-03-24","31.393"
"2014-03-31","31.536"
"2014-04-07","31.909"
"2014-04-14","32.305"
