"dtime per week","Average speed (Mbps)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","26.318"
"2011-02-07","26.227"
"2011-02-14","26.516"
"2011-02-21","26.287"
"2011-02-28","26.006"
"2011-03-07","25.871"
"2011-03-14","25.521"
"2011-03-21","25.403"
"2011-03-28","25.41"
"2011-04-04","24.84"
"2011-04-11","25.27"
"2011-04-18","25.235"
"2011-04-25","25.42"
"2011-05-02","25.624"
"2011-05-09","25.518"
"2011-05-16","25.495"
"2011-05-23","25.432"
"2011-05-30","25.435"
"2011-06-06","25.457"
"2011-06-13","25.372"
"2011-06-20","25.383"
"2011-06-27","25.58"
"2011-07-04","25.671"
"2011-07-11","25.741"
"2011-07-18","25.687"
"2011-07-25","25.577"
"2011-08-01","25.604"
"2011-08-08","25.462"
"2011-08-15","25.242"
"2011-08-22","25.44"
"2011-08-29","25.443"
"2011-09-05","25.121"
"2011-09-12","25.96"
"2011-09-19","26.501"
"2011-09-26","26.337"
"2011-10-03","26.378"
"2011-10-10","26.409"
"2011-10-17","26.378"
"2011-10-24","26.455"
"2011-10-31","26.644"
"2011-11-07","26.689"
"2011-11-14","26.741"
"2011-11-21","26.731"
"2011-11-28","26.876"
"2011-12-05","26.852"
"2011-12-12","26.886"
"2011-12-19","27.152"
"2011-12-26","27.159"
"2012-01-02","27.154"
"2012-01-09","27.1"
"2012-01-16","27.125"
"2012-01-23","26.938"
"2012-01-30","26.856"
"2012-02-06","26.742"
"2012-02-13","26.704"
"2012-02-20","26.708"
"2012-02-27","26.748"
"2012-03-05","26.429"
"2012-03-12","27.212"
"2012-03-19","27.872"
"2012-03-26","28.553"
"2012-04-02","29.079"
"2012-04-09","28.686"
"2012-04-16","28.996"
"2012-04-23","29.088"
"2012-04-30","29.236"
"2012-05-07","29.188"
"2012-05-14","29.129"
"2012-05-21","29.145"
"2012-05-28","29.206"
"2012-06-04","29.295"
"2012-06-11","29.374"
"2012-06-18","30.014"
"2012-06-25","31.083"
"2012-07-02","31.121"
"2012-07-09","31.45"
"2012-07-16","32.155"
"2012-07-23","32.325"
"2012-07-30","32.637"
"2012-08-06","32.528"
"2012-08-13","32.704"
"2012-08-20","33.09"
"2012-08-27","33.299"
"2012-09-03","33.004"
"2012-09-10","33.541"
"2012-09-17","34.168"
"2012-09-24","35.047"
"2012-10-01","35.455"
"2012-10-08","35.326"
"2012-10-15","35.765"
"2012-10-22","35.968"
"2012-10-29","33.906"
"2012-11-05","35.792"
"2012-11-12","36.424"
"2012-11-19","36.755"
"2012-11-26","37.002"
"2012-12-03","36.832"
"2012-12-10","37.209"
"2012-12-17","36.996"
"2012-12-24","36.717"
"2012-12-31","36.517"
"2013-01-07","36.305"
"2013-01-14","36.93"
"2013-01-21","37.234"
"2013-01-28","37.261"
"2013-02-04","37.095"
"2013-02-11","37.41"
"2013-02-18","37.23"
"2013-02-25","38.218"
"2013-03-04","38.139"
"2013-03-11","38.02"
"2013-03-18","38.481"
"2013-03-25","38.815"
"2013-04-01","38.782"
"2013-04-08","39.056"
"2013-04-15","39.531"
"2013-04-22","39.279"
"2013-04-29","38.694"
"2013-05-06","37.818"
"2013-05-13","37.841"
"2013-05-20","37.638"
"2013-05-27","37.758"
"2013-06-03","38.461"
"2013-06-10","38.444"
"2013-06-17","38.036"
"2013-06-24","39.462"
"2013-07-01","40.1"
"2013-07-08","40.009"
"2013-07-15","40.7"
"2013-07-22","40.586"
"2013-07-29","40.368"
"2013-08-05","40.43"
"2013-08-12","41.261"
"2013-08-19","41.518"
"2013-08-26","42.07"
"2013-09-02","42.685"
"2013-09-09","42.912"
"2013-09-16","42.422"
"2013-09-23","42.531"
"2013-09-30","42.115"
"2013-10-07","42.224"
"2013-10-14","42.064"
"2013-10-21","42.088"
"2013-10-28","42.257"
"2013-11-04","42.186"
"2013-11-11","41.981"
"2013-11-18","42.409"
"2013-11-25","42.791"
"2013-12-02","42.693"
"2013-12-09","43.044"
"2013-12-16","42.786"
"2013-12-23","42.55"
"2013-12-30","42.814"
"2014-01-06","43.492"
"2014-01-13","43.64"
"2014-01-20","43.634"
"2014-01-27","43.402"
"2014-02-03","43.069"
"2014-02-10","42.912"
"2014-02-17","42.633"
"2014-02-24","42.518"
"2014-03-03","42.925"
"2014-03-10","42.312"
"2014-03-17","43.22"
"2014-03-24","44.072"
"2014-03-31","44.174"
"2014-04-07","44.194"
"2014-04-14","43.811"
