"dtime per week","Average latency (ms)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","23.442"
"2011-02-07","22.83"
"2011-02-14","23.052"
"2011-02-21","23.79"
"2011-02-28","22.529"
"2011-03-07","21.605"
"2011-03-14","22.746"
"2011-03-21","24.366"
"2011-03-28","22.736"
"2011-04-04","23.611"
"2011-04-11","23.67"
"2011-04-18","22.752"
"2011-04-25","22.588"
"2011-05-02","23.358"
"2011-05-09","21.601"
"2011-05-16","22.822"
"2011-05-23","23.154"
"2011-05-30","21.295"
"2011-06-06","21.858"
"2011-06-13","22.349"
"2011-06-20","21.907"
"2011-06-27","22.411"
"2011-07-04","21.772"
"2011-07-11","20.968"
"2011-07-18","21.44"
"2011-07-25","21.724"
"2011-08-01","22.718"
"2011-08-08","22.593"
"2011-08-15","25.49"
"2011-08-22","23.708"
"2011-08-29","22.858"
"2011-09-05","22.482"
"2011-09-12","22.081"
"2011-09-19","22.59"
"2011-09-26","21.865"
"2011-10-03","24.899"
"2011-10-10","23.297"
"2011-10-17","24.412"
"2011-10-24","22.768"
"2011-10-31","23.588"
"2011-11-07","22.361"
"2011-11-14","21.882"
"2011-11-21","22.708"
"2011-11-28","22.748"
"2011-12-05","23.958"
"2011-12-12","24.418"
"2011-12-19","27.512"
"2011-12-26","31.6"
"2012-01-02","32.638"
"2012-01-09","31.545"
"2012-01-16","34.26"
"2012-01-23","36.886"
"2012-01-30","40.11"
"2012-02-06","57.959"
"2012-02-13","67.068"
"2012-02-20","84.165"
"2012-02-27","86.72"
"2012-03-05","71.615"
"2012-03-12","47.328"
"2012-03-19","38.597"
"2012-03-26","34.716"
"2012-04-02","26.161"
"2012-04-09","26.311"
"2012-04-16","25.49"
"2012-04-23","22.551"
"2012-04-30","21.656"
"2012-05-07","22.343"
"2012-05-14","22.028"
"2012-05-21","23.109"
"2012-05-28","22.162"
"2012-06-04","22.528"
"2012-06-11","22.482"
"2012-06-18","22.641"
"2012-06-25","21.804"
"2012-07-02","20.538"
"2012-07-09","21.13"
"2012-07-16","21.569"
"2012-07-23","21.928"
"2012-07-30","21.434"
"2012-08-06","21.949"
"2012-08-13","22.055"
"2012-08-20","21.643"
"2012-08-27","20.744"
"2012-09-03","21.464"
"2012-09-10","25.879"
"2012-09-17","27.958"
"2012-09-24","26.336"
"2012-10-01","23.979"
"2012-10-08","24.357"
"2012-10-15","22.561"
"2012-10-22","21.471"
"2012-10-29","24.647"
"2012-11-05","22.027"
"2012-11-12","24.934"
"2012-11-19","24.432"
"2012-11-26","24.052"
"2012-12-03","22.561"
"2012-12-10","21.634"
"2012-12-17","22.688"
"2012-12-24","25.494"
"2012-12-31","23.622"
"2013-01-07","25.054"
"2013-01-14","25.103"
"2013-01-21","26.924"
"2013-01-28","26.123"
"2013-02-04","25.192"
"2013-02-11","26.228"
"2013-02-18","26.643"
"2013-02-25","27.72"
"2013-03-04","25.195"
"2013-03-11","24.353"
"2013-03-18","23.36"
"2013-03-25","23.118"
"2013-04-01","23.306"
"2013-04-08","23.745"
"2013-04-15","23.844"
"2013-04-22","24.299"
"2013-04-29","24.697"
"2013-05-06","26.971"
"2013-05-13","27.679"
"2013-05-20","28.348"
"2013-05-27","28.531"
"2013-06-03","28.643"
"2013-06-10","27.542"
"2013-06-17","27.454"
"2013-06-24","25.283"
"2013-07-01","25.932"
"2013-07-08","27.832"
"2013-07-15","27.398"
"2013-07-22","27.558"
"2013-07-29","28.182"
"2013-08-05","27.019"
"2013-08-12","27.54"
"2013-08-19","27.497"
"2013-08-26","28.2"
"2013-09-02","28.397"
"2013-09-09","27.327"
"2013-09-16","29.641"
"2013-09-23","27.338"
"2013-09-30","27.48"
"2013-10-07","27.221"
"2013-10-14","26.503"
"2013-10-21","25.897"
"2013-10-28","25.486"
"2013-11-04","26.399"
"2013-11-11","27.026"
"2013-11-18","27.37"
"2013-11-25","27.846"
"2013-12-02","28.289"
"2013-12-09","28.254"
"2013-12-16","28.012"
"2013-12-23","30.99"
"2013-12-30","34.469"
"2014-01-06","30.947"
"2014-01-13","29.1"
"2014-01-20","30.094"
"2014-01-27","28.919"
"2014-02-03","31.398"
"2014-02-10","31.857"
"2014-02-17","29.779"
"2014-02-24","30.374"
"2014-03-03","29.113"
"2014-03-10","31.798"
"2014-03-17","27.381"
"2014-03-24","25.717"
"2014-03-31","24.4"
"2014-04-07","23.476"
"2014-04-14","26.895"
