"dtime per week","Average latency (ms)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","48.681"
"2011-02-07","47.146"
"2011-02-14","46.98"
"2011-02-21","47.522"
"2011-02-28","46.543"
"2011-03-07","46.144"
"2011-03-14","46.634"
"2011-03-21","47.244"
"2011-03-28","46.193"
"2011-04-04","45.547"
"2011-04-11","46.032"
"2011-04-18","46.336"
"2011-04-25","44.681"
"2011-05-02","45.518"
"2011-05-09","44.941"
"2011-05-16","45.476"
"2011-05-23","45.887"
"2011-05-30","44.331"
"2011-06-06","44.818"
"2011-06-13","44.925"
"2011-06-20","44.835"
"2011-06-27","45.703"
"2011-07-04","45.162"
"2011-07-11","44.441"
"2011-07-18","44.44"
"2011-07-25","44.766"
"2011-08-01","45.353"
"2011-08-08","45.027"
"2011-08-15","46.456"
"2011-08-22","45.552"
"2011-08-29","45.548"
"2011-09-05","45.349"
"2011-09-12","43.822"
"2011-09-19","44.613"
"2011-09-26","44.436"
"2011-10-03","46.712"
"2011-10-10","45.403"
"2011-10-17","45.522"
"2011-10-24","45.704"
"2011-10-31","46.205"
"2011-11-07","45.821"
"2011-11-14","45.287"
"2011-11-21","46.701"
"2011-11-28","47.072"
"2011-12-05","47.286"
"2011-12-12","49.603"
"2011-12-19","55.863"
"2011-12-26","61.345"
"2012-01-02","61.884"
"2012-01-09","58.932"
"2012-01-16","57.55"
"2012-01-23","56.575"
"2012-01-30","53.978"
"2012-02-06","60.007"
"2012-02-13","63.428"
"2012-02-20","70.582"
"2012-02-27","71.403"
"2012-03-05","67.778"
"2012-03-12","60.088"
"2012-03-19","55.67"
"2012-03-26","53.331"
"2012-04-02","46.716"
"2012-04-09","47.425"
"2012-04-16","46.136"
"2012-04-23","45.26"
"2012-04-30","44.664"
"2012-05-07","45.058"
"2012-05-14","44.821"
"2012-05-21","45.07"
"2012-05-28","45.167"
"2012-06-04","45.94"
"2012-06-11","46.707"
"2012-06-18","46.68"
"2012-06-25","46.633"
"2012-07-02","45.378"
"2012-07-09","45.647"
"2012-07-16","45.765"
"2012-07-23","45.5"
"2012-07-30","44.663"
"2012-08-06","44.759"
"2012-08-13","45.672"
"2012-08-20","44.786"
"2012-08-27","43.59"
"2012-09-03","44.174"
"2012-09-10","44.896"
"2012-09-17","47.14"
"2012-09-24","46.078"
"2012-10-01","44.915"
"2012-10-08","45.578"
"2012-10-15","44.236"
"2012-10-22","43.65"
"2012-10-29","45.652"
"2012-11-05","43.928"
"2012-11-12","45.3"
"2012-11-19","45.793"
"2012-11-26","45.434"
"2012-12-03","45.307"
"2012-12-10","46.412"
"2012-12-17","46.655"
"2012-12-24","49.155"
"2012-12-31","50.077"
"2013-01-07","48.695"
"2013-01-14","48.643"
"2013-01-21","49.776"
"2013-01-28","49.09"
"2013-02-04","48.665"
"2013-02-11","48.508"
"2013-02-18","50.433"
"2013-02-25","49.987"
"2013-03-04","49.122"
"2013-03-11","49.826"
"2013-03-18","49.67"
"2013-03-25","49.32"
"2013-04-01","49.531"
"2013-04-08","49.012"
"2013-04-15","48.699"
"2013-04-22","48.465"
"2013-04-29","48.407"
"2013-05-06","49.129"
"2013-05-13","49.434"
"2013-05-20","49.796"
"2013-05-27","49.917"
"2013-06-03","49.694"
"2013-06-10","49.308"
"2013-06-17","48.548"
"2013-06-24","48.251"
"2013-07-01","48.419"
"2013-07-08","49.48"
"2013-07-15","49.552"
"2013-07-22","50.024"
"2013-07-29","50.111"
"2013-08-05","48.771"
"2013-08-12","48.992"
"2013-08-19","48.619"
"2013-08-26","49.365"
"2013-09-02","50.875"
"2013-09-09","48.29"
"2013-09-16","48.241"
"2013-09-23","46.441"
"2013-09-30","47.112"
"2013-10-07","47.257"
"2013-10-14","47.213"
"2013-10-21","46.434"
"2013-10-28","46.105"
"2013-11-04","46.891"
"2013-11-11","47.852"
"2013-11-18","47.817"
"2013-11-25","47.906"
"2013-12-02","48.318"
"2013-12-09","48.482"
"2013-12-16","48.447"
"2013-12-23","50.037"
"2013-12-30","53.423"
"2014-01-06","51.392"
"2014-01-13","49.924"
"2014-01-20","50.726"
"2014-01-27","50.066"
"2014-02-03","49.974"
"2014-02-10","50.436"
"2014-02-17","48.817"
"2014-02-24","48.157"
"2014-03-03","47.598"
"2014-03-10","47.833"
"2014-03-17","46.63"
"2014-03-24","46.122"
"2014-03-31","45.268"
"2014-04-07","45.341"
"2014-04-14","45.319"
