"dtime per week","Average latency (ms)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","207.378"
"2011-02-07","216.71"
"2011-02-14","212.518"
"2011-02-21","212.815"
"2011-02-28","199.857"
"2011-03-07","193.362"
"2011-03-14","196.611"
"2011-03-21","177.526"
"2011-03-28","180.013"
"2011-04-04","179.73"
"2011-04-11","195.177"
"2011-04-18","188.853"
"2011-04-25","187.483"
"2011-05-02","195.028"
"2011-05-09","188.008"
"2011-05-16","191.807"
"2011-05-23","189.801"
"2011-05-30","195.323"
"2011-06-06","201.2"
"2011-06-13","209.687"
"2011-06-20","220.961"
"2011-06-27","208.067"
"2011-07-04","193.138"
"2011-07-11","184.575"
"2011-07-18","189.685"
"2011-07-25","180.653"
"2011-08-01","176.177"
"2011-08-08","176.778"
"2011-08-15","170.297"
"2011-08-22","179.985"
"2011-08-29","179.542"
"2011-09-05","178.193"
"2011-09-12","215.054"
"2011-09-19","224.766"
"2011-09-26","224.26"
"2011-10-03","221.11"
"2011-10-10","223.939"
"2011-10-17","223.97"
"2011-10-24","223.046"
"2011-10-31","218.149"
"2011-11-07","214.205"
"2011-11-14","215.906"
"2011-11-21","216.843"
"2011-11-28","215.057"
"2011-12-05","212.992"
"2011-12-12","213.559"
"2011-12-19","215.389"
"2011-12-26","218.669"
"2012-01-02","226.432"
"2012-01-09","233.125"
"2012-01-16","236.234"
"2012-01-23","245.247"
"2012-01-30","249.656"
"2012-02-06","261.796"
"2012-02-13","271.836"
"2012-02-20","276.67"
"2012-02-27","288.445"
"2012-03-05","316.009"
"2012-03-12","315.469"
"2012-03-19","301.194"
"2012-03-26","255.651"
"2012-04-02","224.562"
"2012-04-09","213.783"
"2012-04-16","223.217"
"2012-04-23","220.1"
"2012-04-30","218.033"
"2012-05-07","219.41"
"2012-05-14","221.215"
"2012-05-21","222.518"
"2012-05-28","221.438"
"2012-06-04","221.408"
"2012-06-11","223.938"
"2012-06-18","226.741"
"2012-06-25","220.233"
"2012-07-02","218.244"
"2012-07-09","218.016"
"2012-07-16","216.59"
"2012-07-23","217.396"
"2012-07-30","216.342"
"2012-08-06","218.547"
"2012-08-13","216.128"
"2012-08-20","222.093"
"2012-08-27","228.438"
"2012-09-03","229.971"
"2012-09-10","232.237"
"2012-09-17","229.831"
"2012-09-24","232.323"
"2012-10-01","225.457"
"2012-10-08","235.31"
"2012-10-15","236.269"
"2012-10-22","237.007"
"2012-10-29","236.785"
"2012-11-05","237.462"
"2012-11-12","235.145"
"2012-11-19","229.822"
"2012-11-26","229.06"
"2012-12-03","228.14"
"2012-12-10","225.931"
"2012-12-17","225.982"
"2012-12-24","226.917"
"2012-12-31","229.593"
"2013-01-07","220.376"
"2013-01-14","221.357"
"2013-01-21","221.966"
"2013-01-28","218.342"
"2013-02-04","215.973"
"2013-02-11","214.464"
"2013-02-18","215.213"
"2013-02-25","216.026"
"2013-03-04","215.899"
"2013-03-11","212.731"
"2013-03-18","212.77"
"2013-03-25","211.584"
"2013-04-01","205.533"
"2013-04-08","208.821"
"2013-04-15","202.691"
"2013-04-22","208.915"
"2013-04-29","207.013"
"2013-05-06","204.681"
"2013-05-13","205.613"
"2013-05-20","199.819"
"2013-05-27","197.294"
"2013-06-03","196.689"
"2013-06-10","196.795"
"2013-06-17","194.416"
"2013-06-24","189.774"
"2013-07-01","191.04"
"2013-07-08","192.575"
"2013-07-15","193.781"
"2013-07-22","195.51"
"2013-07-29","197.435"
"2013-08-05","195.216"
"2013-08-12","195.568"
"2013-08-19","195.341"
"2013-08-26","193.678"
"2013-09-02","195.13"
"2013-09-09","196.435"
"2013-09-16","200.265"
"2013-09-23","207.114"
"2013-09-30","212.346"
"2013-10-07","213.216"
"2013-10-14","211.993"
"2013-10-21","208.537"
"2013-10-28","207.924"
"2013-11-04","210.268"
"2013-11-11","210.06"
"2013-11-18","210.546"
"2013-11-25","209.123"
"2013-12-02","210.146"
"2013-12-09","209.765"
"2013-12-16","211.854"
"2013-12-23","210.532"
"2013-12-30","210.396"
"2014-01-06","208.058"
"2014-01-13","209.088"
"2014-01-20","210.681"
"2014-01-27","207.67"
"2014-02-03","208.166"
"2014-02-10","205.914"
"2014-02-17","206.814"
"2014-02-24","206.555"
"2014-03-03","204.418"
"2014-03-10","204.909"
"2014-03-17","203.154"
"2014-03-24","200.555"
"2014-03-31","196.526"
"2014-04-07","195.827"
"2014-04-14","194.779"
