"dtime per week","Average speed (Mbps)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","3.24"
"2011-02-07","3.272"
"2011-02-14","3.312"
"2011-02-21","3.086"
"2011-02-28","3.055"
"2011-03-07","3.031"
"2011-03-14","2.928"
"2011-03-21","2.916"
"2011-03-28","3.003"
"2011-04-04","2.99"
"2011-04-11","3.019"
"2011-04-18","3.072"
"2011-04-25","3.079"
"2011-05-02","3.105"
"2011-05-09","3.163"
"2011-05-16","3.094"
"2011-05-23","3.127"
"2011-05-30","3.144"
"2011-06-06","3.166"
"2011-06-13","3.211"
"2011-06-20","3.206"
"2011-06-27","3.214"
"2011-07-04","3.206"
"2011-07-11","3.254"
"2011-07-18","3.237"
"2011-07-25","3.24"
"2011-08-01","3.234"
"2011-08-08","3.21"
"2011-08-15","3.226"
"2011-08-22","3.329"
"2011-08-29","3.299"
"2011-09-05","3.3"
"2011-09-12","3.248"
"2011-09-19","3.208"
"2011-09-26","3.174"
"2011-10-03","3.181"
"2011-10-10","3.207"
"2011-10-17","3.213"
"2011-10-24","3.193"
"2011-10-31","3.222"
"2011-11-07","3.236"
"2011-11-14","3.279"
"2011-11-21","3.318"
"2011-11-28","3.369"
"2011-12-05","3.411"
"2011-12-12","3.454"
"2011-12-19","3.493"
"2011-12-26","3.501"
"2012-01-02","3.508"
"2012-01-09","3.498"
"2012-01-16","3.581"
"2012-01-23","3.661"
"2012-01-30","3.606"
"2012-02-06","3.498"
"2012-02-13","3.473"
"2012-02-20","3.516"
"2012-02-27","3.531"
"2012-03-05","3.532"
"2012-03-12","3.911"
"2012-03-19","4.107"
"2012-03-26","4.278"
"2012-04-02","4.355"
"2012-04-09","4.391"
"2012-04-16","4.384"
"2012-04-23","4.409"
"2012-04-30","4.43"
"2012-05-07","4.418"
"2012-05-14","4.447"
"2012-05-21","4.407"
"2012-05-28","4.425"
"2012-06-04","4.437"
"2012-06-11","4.441"
"2012-06-18","4.45"
"2012-06-25","4.475"
"2012-07-02","4.472"
"2012-07-09","4.491"
"2012-07-16","4.526"
"2012-07-23","4.567"
"2012-07-30","4.588"
"2012-08-06","4.781"
"2012-08-13","4.572"
"2012-08-20","4.561"
"2012-08-27","4.577"
"2012-09-03","4.58"
"2012-09-10","4.573"
"2012-09-17","4.598"
"2012-09-24","4.614"
"2012-10-01","4.656"
"2012-10-08","4.667"
"2012-10-15","4.661"
"2012-10-22","4.716"
"2012-10-29","4.517"
"2012-11-05","4.65"
"2012-11-12","4.588"
"2012-11-19","4.579"
"2012-11-26","4.6"
"2012-12-03","4.658"
"2012-12-10","4.61"
"2012-12-17","4.609"
"2012-12-24","4.621"
"2012-12-31","4.794"
"2013-01-07","4.818"
"2013-01-14","4.907"
"2013-01-21","4.825"
"2013-01-28","4.874"
"2013-02-04","4.959"
"2013-02-11","4.965"
"2013-02-18","4.949"
"2013-02-25","5.022"
"2013-03-04","5.222"
"2013-03-11","5.045"
"2013-03-18","5.064"
"2013-03-25","5.162"
"2013-04-01","5.145"
"2013-04-08","5.334"
"2013-04-15","5.401"
"2013-04-22","5.425"
"2013-04-29","5.446"
"2013-05-06","5.431"
"2013-05-13","5.493"
"2013-05-20","5.532"
"2013-05-27","5.488"
"2013-06-03","5.516"
"2013-06-10","5.553"
"2013-06-17","5.543"
"2013-06-24","5.602"
"2013-07-01","5.687"
"2013-07-08","5.748"
"2013-07-15","5.969"
"2013-07-22","6.001"
"2013-07-29","6.002"
"2013-08-05","6.072"
"2013-08-12","6.143"
"2013-08-19","6.198"
"2013-08-26","6.266"
"2013-09-02","6.346"
"2013-09-09","6.354"
"2013-09-16","6.262"
"2013-09-23","6.328"
"2013-09-30","6.361"
"2013-10-07","6.4"
"2013-10-14","6.418"
"2013-10-21","6.491"
"2013-10-28","6.527"
"2013-11-04","6.477"
"2013-11-11","6.526"
"2013-11-18","6.622"
"2013-11-25","6.68"
"2013-12-02","6.661"
"2013-12-09","6.646"
"2013-12-16","6.687"
"2013-12-23","6.702"
"2013-12-30","6.711"
"2014-01-06","6.701"
"2014-01-13","6.739"
"2014-01-20","6.72"
"2014-01-27","6.761"
"2014-02-03","6.753"
"2014-02-10","6.734"
"2014-02-17","6.778"
"2014-02-24","6.682"
"2014-03-03","6.585"
"2014-03-10","6.583"
"2014-03-17","6.64"
"2014-03-24","6.794"
"2014-03-31","6.712"
"2014-04-07","6.651"
"2014-04-14","6.709"
