"dtime per week","Average speed (Mbps)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","13.089"
"2011-02-07","13.196"
"2011-02-14","13.454"
"2011-02-21","13.244"
"2011-02-28","13.107"
"2011-03-07","12.881"
"2011-03-14","12.633"
"2011-03-21","12.599"
"2011-03-28","12.757"
"2011-04-04","12.736"
"2011-04-11","12.878"
"2011-04-18","12.853"
"2011-04-25","12.977"
"2011-05-02","13.005"
"2011-05-09","12.996"
"2011-05-16","13.013"
"2011-05-23","13.106"
"2011-05-30","13.104"
"2011-06-06","13.143"
"2011-06-13","13.262"
"2011-06-20","13.222"
"2011-06-27","13.301"
"2011-07-04","13.276"
"2011-07-11","13.383"
"2011-07-18","13.388"
"2011-07-25","13.271"
"2011-08-01","13.309"
"2011-08-08","13.317"
"2011-08-15","13.304"
"2011-08-22","13.404"
"2011-08-29","13.362"
"2011-09-05","13.352"
"2011-09-12","13.914"
"2011-09-19","14.303"
"2011-09-26","14.281"
"2011-10-03","14.366"
"2011-10-10","14.36"
"2011-10-17","14.394"
"2011-10-24","14.465"
"2011-10-31","14.513"
"2011-11-07","14.584"
"2011-11-14","14.738"
"2011-11-21","14.836"
"2011-11-28","14.911"
"2011-12-05","15.077"
"2011-12-12","15.159"
"2011-12-19","15.317"
"2011-12-26","15.151"
"2012-01-02","15.015"
"2012-01-09","15.043"
"2012-01-16","15.106"
"2012-01-23","15.346"
"2012-01-30","15.609"
"2012-02-06","15.409"
"2012-02-13","15.393"
"2012-02-20","15.567"
"2012-02-27","15.72"
"2012-03-05","15.61"
"2012-03-12","15.698"
"2012-03-19","15.879"
"2012-03-26","16.186"
"2012-04-02","16.428"
"2012-04-09","16.286"
"2012-04-16","16.394"
"2012-04-23","16.472"
"2012-04-30","16.556"
"2012-05-07","16.599"
"2012-05-14","16.667"
"2012-05-21","16.857"
"2012-05-28","16.929"
"2012-06-04","16.95"
"2012-06-11","16.938"
"2012-06-18","17.036"
"2012-06-25","17.118"
"2012-07-02","17.12"
"2012-07-09","17.15"
"2012-07-16","17.173"
"2012-07-23","17.238"
"2012-07-30","17.411"
"2012-08-06","17.66"
"2012-08-13","17.521"
"2012-08-20","17.553"
"2012-08-27","17.891"
"2012-09-03","17.89"
"2012-09-10","18.453"
"2012-09-17","18.543"
"2012-09-24","19.017"
"2012-10-01","19.199"
"2012-10-08","19.174"
"2012-10-15","19.29"
"2012-10-22","19.379"
"2012-10-29","18.646"
"2012-11-05","19.232"
"2012-11-12","19.344"
"2012-11-19","19.571"
"2012-11-26","20.073"
"2012-12-03","20.207"
"2012-12-10","20.211"
"2012-12-17","20.18"
"2012-12-24","20.017"
"2012-12-31","19.997"
"2013-01-07","20.219"
"2013-01-14","20.38"
"2013-01-21","20.408"
"2013-01-28","20.664"
"2013-02-04","20.714"
"2013-02-11","20.874"
"2013-02-18","20.869"
"2013-02-25","21.102"
"2013-03-04","21.331"
"2013-03-11","21.174"
"2013-03-18","21.371"
"2013-03-25","21.728"
"2013-04-01","21.848"
"2013-04-08","22.303"
"2013-04-15","22.584"
"2013-04-22","22.811"
"2013-04-29","22.841"
"2013-05-06","22.666"
"2013-05-13","22.853"
"2013-05-20","22.816"
"2013-05-27","22.719"
"2013-06-03","22.955"
"2013-06-10","23.084"
"2013-06-17","23.128"
"2013-06-24","23.405"
"2013-07-01","23.586"
"2013-07-08","23.659"
"2013-07-15","24.138"
"2013-07-22","24.219"
"2013-07-29","24.338"
"2013-08-05","24.584"
"2013-08-12","24.794"
"2013-08-19","24.885"
"2013-08-26","25.289"
"2013-09-02","25.608"
"2013-09-09","26.052"
"2013-09-16","25.992"
"2013-09-23","26.284"
"2013-09-30","26.373"
"2013-10-07","26.515"
"2013-10-14","26.587"
"2013-10-21","26.732"
"2013-10-28","26.911"
"2013-11-04","26.859"
"2013-11-11","26.9"
"2013-11-18","27.079"
"2013-11-25","27.248"
"2013-12-02","27.118"
"2013-12-09","27.236"
"2013-12-16","27.24"
"2013-12-23","27.052"
"2013-12-30","26.948"
"2014-01-06","27.18"
"2014-01-13","27.368"
"2014-01-20","27.21"
"2014-01-27","27.404"
"2014-02-03","27.419"
"2014-02-10","27.5"
"2014-02-17","27.58"
"2014-02-24","27.545"
"2014-03-03","27.637"
"2014-03-10","27.391"
"2014-03-17","27.665"
"2014-03-24","28.319"
"2014-03-31","28.362"
"2014-04-07","28.553"
"2014-04-14","28.783"
