"dtime per week","Average latency (ms)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","30.094"
"2011-02-07","29.689"
"2011-02-14","29.374"
"2011-02-21","28.898"
"2011-02-28","28.778"
"2011-03-07","28.592"
"2011-03-14","28.69"
"2011-03-21","28.395"
"2011-03-28","28.138"
"2011-04-04","28.298"
"2011-04-11","28.315"
"2011-04-18","28.5"
"2011-04-25","27.711"
"2011-05-02","27.861"
"2011-05-09","28.193"
"2011-05-16","28.41"
"2011-05-23","28.006"
"2011-05-30","27.828"
"2011-06-06","27.86"
"2011-06-13","28.105"
"2011-06-20","28.138"
"2011-06-27","28.116"
"2011-07-04","28.159"
"2011-07-11","28.039"
"2011-07-18","28.37"
"2011-07-25","28.654"
"2011-08-01","28.631"
"2011-08-08","28.506"
"2011-08-15","28.813"
"2011-08-22","28.691"
"2011-08-29","28.95"
"2011-09-05","28.92"
"2011-09-12","27.079"
"2011-09-19","26.898"
"2011-09-26","27.071"
"2011-10-03","27.075"
"2011-10-10","27.159"
"2011-10-17","27.383"
"2011-10-24","27.677"
"2011-10-31","27.973"
"2011-11-07","27.514"
"2011-11-14","27.879"
"2011-11-21","28.594"
"2011-11-28","28.544"
"2011-12-05","27.963"
"2011-12-12","28.078"
"2011-12-19","28.156"
"2011-12-26","28.703"
"2012-01-02","28.973"
"2012-01-09","29.374"
"2012-01-16","29.538"
"2012-01-23","30.021"
"2012-01-30","29.237"
"2012-02-06","29.642"
"2012-02-13","29.475"
"2012-02-20","29.135"
"2012-02-27","29.252"
"2012-03-05","30.146"
"2012-03-12","30.438"
"2012-03-19","30.225"
"2012-03-26","28.468"
"2012-04-02","26.645"
"2012-04-09","26.737"
"2012-04-16","26.529"
"2012-04-23","25.979"
"2012-04-30","25.741"
"2012-05-07","25.82"
"2012-05-14","25.682"
"2012-05-21","25.442"
"2012-05-28","25.548"
"2012-06-04","25.819"
"2012-06-11","26.603"
"2012-06-18","26.214"
"2012-06-25","26.13"
"2012-07-02","25.83"
"2012-07-09","25.871"
"2012-07-16","25.559"
"2012-07-23","25.643"
"2012-07-30","25.287"
"2012-08-06","25.499"
"2012-08-13","25.977"
"2012-08-20","25.358"
"2012-08-27","25.11"
"2012-09-03","25.331"
"2012-09-10","26.115"
"2012-09-17","26.512"
"2012-09-24","26.218"
"2012-10-01","26.026"
"2012-10-08","26.15"
"2012-10-15","25.729"
"2012-10-22","25.722"
"2012-10-29","26.981"
"2012-11-05","25.853"
"2012-11-12","27.046"
"2012-11-19","26.339"
"2012-11-26","26.725"
"2012-12-03","27.202"
"2012-12-10","27.704"
"2012-12-17","27.969"
"2012-12-24","29.304"
"2012-12-31","29.757"
"2013-01-07","28.484"
"2013-01-14","28.068"
"2013-01-21","28.938"
"2013-01-28","28.242"
"2013-02-04","28.558"
"2013-02-11","28.385"
"2013-02-18","29.153"
"2013-02-25","28.93"
"2013-03-04","28.757"
"2013-03-11","29.619"
"2013-03-18","29.438"
"2013-03-25","29.228"
"2013-04-01","29.486"
"2013-04-08","29.213"
"2013-04-15","29.188"
"2013-04-22","29.129"
"2013-04-29","29.096"
"2013-05-06","29.757"
"2013-05-13","29.669"
"2013-05-20","29.692"
"2013-05-27","30.019"
"2013-06-03","29.774"
"2013-06-10","29.701"
"2013-06-17","29.521"
"2013-06-24","29.135"
"2013-07-01","29.481"
"2013-07-08","29.713"
"2013-07-15","29.69"
"2013-07-22","29.829"
"2013-07-29","29.925"
"2013-08-05","29.36"
"2013-08-12","29.535"
"2013-08-19","28.97"
"2013-08-26","27.658"
"2013-09-02","27.098"
"2013-09-09","27.27"
"2013-09-16","28.316"
"2013-09-23","27.605"
"2013-09-30","28.254"
"2013-10-07","28.314"
"2013-10-14","28.393"
"2013-10-21","28.006"
"2013-10-28","27.83"
"2013-11-04","28.083"
"2013-11-11","28.821"
"2013-11-18","28.768"
"2013-11-25","28.86"
"2013-12-02","29.101"
"2013-12-09","29.16"
"2013-12-16","29.103"
"2013-12-23","30.02"
"2013-12-30","31.957"
"2014-01-06","30.935"
"2014-01-13","30.233"
"2014-01-20","30.546"
"2014-01-27","29.769"
"2014-02-03","30.209"
"2014-02-10","30.431"
"2014-02-17","29.254"
"2014-02-24","28.586"
"2014-03-03","28.318"
"2014-03-10","28.676"
"2014-03-17","27.791"
"2014-03-24","27.578"
"2014-03-31","27.137"
"2014-04-07","27.557"
"2014-04-14","27.289"
