"dtime per 30 days","Download speed (Mbps)"
"2011-01-26","13.3"
"2011-02-25","12.831"
"2011-03-27","12.796"
"2011-04-26","13.007"
"2011-05-26","13.172"
"2011-06-25","13.329"
"2011-07-25","13.308"
"2011-08-24","13.628"
"2011-09-23","14.335"
"2011-10-23","14.573"
"2011-11-22","15.027"
"2011-12-22","15.106"
"2012-01-21","15.424"
"2012-02-20","15.654"
"2012-03-21","16.26"
"2012-04-20","16.54"
"2012-05-20","16.909"
"2012-06-19","17.115"
"2012-07-19","17.413"
"2012-08-18","17.908"
"2012-09-17","18.992"
"2012-10-17","19.152"
"2012-11-16","19.936"
"2012-12-16","20.099"
"2013-01-15","20.573"
"2013-02-14","21.081"
"2013-03-16","21.752"
"2013-04-15","22.736"
"2013-05-15","22.851"
"2013-06-14","23.4"
"2013-07-14","24.304"
"2013-08-13","25.245"
"2013-09-12","26.254"
"2013-10-12","26.747"
"2013-11-11","27.095"
"2013-12-11","27.131"
"2014-01-10","27.329"
"2014-02-09","27.566"
"2014-03-11","27.98"
"2014-04-10","29.01"
"2014-05-10","29.962"
"2014-06-09","28.626"
"2014-07-09","29.075"
"2014-08-08","31.34"
"2014-09-07","32.061"
"2014-10-07","33.056"
"2014-11-06","33.968"
"2014-12-06","34.539"
"2015-01-05","36.62"
"2015-02-04","37.06"
"2015-03-06","37.654"
"2015-04-05","38.251"
"2015-05-05","39.168"
"2015-06-04","39.781"
"2015-07-04","41.395"
"2015-08-03","43.231"
"2015-09-02","46.96"
"2015-10-02","48.126"
"2015-11-01","49.031"
"2015-12-01","49.363"
"2015-12-31","45.323"
"2016-01-30","45.86"
"2016-02-29","46.172"
"2016-03-30","46.799"
"2016-04-29","47.393"
"2016-05-29","48.453"
"2016-06-28","48.592"
"2016-07-28","48.405"
"2016-08-27","49.037"
"2016-09-26","48.484"
"2016-10-26","50.012"
"2016-11-25","50.623"
"2016-12-25","55.008"
"2017-01-24","56.749"
"2017-02-23","57.721"
"2017-03-25","58.501"
"2017-04-24","59.897"
"2017-05-24","61.031"
"2017-06-23","62.418"
"2017-07-23","60.713"
"2017-08-22","61.439"
"2017-09-21","62.189"
"2017-10-21","63.373"
"2017-11-20","64.546"
"2017-12-20","67.767"
"2018-01-19","71.168"
"2018-02-18","72.622"
"2018-03-20","74.384"
"2018-04-19","76.425"
"2018-05-19","78.795"
"2018-06-18","81.017"
"2018-07-18","83.723"
"2018-08-17","86.978"
"2018-09-16","89.777"
"2018-10-16","92.227"
"2018-11-15","92.398"
"2018-12-15","92.741"
"2019-01-14","94.524"
"2019-02-13","96.086"
"2019-03-15","98.664"
"2019-04-14","102.423"
"2019-05-14","107.349"
"2019-06-13","115.018"
"2019-07-13","115.939"
"2019-08-12","121.917"
"2019-09-11","123.034"
"2019-10-11","126.716"
"2019-11-10","125.777"
"2019-12-10","123.871"
"2020-01-09","123.298"
"2020-02-08","124.969"
"2020-03-09","125.774"
"2020-04-08","127.769"
"2020-05-08","131.99"
"2020-06-07","137.061"
"2020-07-07","143.241"
"2020-08-06","157.513"
"2020-10-05","149.978"
"2020-11-04","145.74"
"2020-12-04","151.515"
"2021-01-03","152.797"
"2021-02-02","160.76"
"2021-03-04","160.598"
"2021-04-03","174.011"
"2021-05-03","180.492"
"2021-06-02","186.821"
"2021-07-02","192.397"
"2021-08-01","200.534"
"2021-08-31","202.933"
"2021-09-30","207.016"
"2021-10-30","215.656"
"2021-11-29","225.337"
"2021-12-29","226.619"
"2022-01-28","227.91"
"2022-02-27","234.167"
"2022-03-29","240.015"
"2022-04-28","244.245"
"2022-05-28","247.937"
"2022-06-27","253.772"
"2022-07-27","256.13"
"2022-08-26","257.017"
"2022-10-25","252.878"
"2022-11-24","258.589"
"2022-12-24","264.674"
"2023-01-23","268.202"
"2023-02-22","277.197"
"2023-03-24","288.355"
"2023-04-23","321.809"
"2023-05-23","264.331"
"2023-06-22","276.289"
"2023-07-22","290.125"
