"dtime per 30 days","Upload speed (Mbps)"
"2011-01-26","3.254"
"2011-02-25","2.983"
"2011-03-27","3.022"
"2011-04-26","3.111"
"2011-05-26","3.174"
"2011-06-25","3.226"
"2011-07-25","3.235"
"2011-08-24","3.28"
"2011-09-23","3.193"
"2011-10-23","3.233"
"2011-11-22","3.401"
"2011-12-22","3.506"
"2012-01-21","3.567"
"2012-02-20","3.664"
"2012-03-21","4.317"
"2012-04-20","4.419"
"2012-05-20","4.428"
"2012-06-19","4.477"
"2012-07-19","4.617"
"2012-08-18","4.571"
"2012-09-17","4.637"
"2012-10-17","4.629"
"2012-11-16","4.608"
"2012-12-16","4.694"
"2013-01-15","4.898"
"2013-02-14","5.045"
"2013-03-16","5.166"
"2013-04-15","5.428"
"2013-05-15","5.517"
"2013-06-14","5.628"
"2013-07-14","6.009"
"2013-08-13","6.258"
"2013-09-12","6.335"
"2013-10-12","6.472"
"2013-11-11","6.623"
"2013-12-11","6.692"
"2014-01-10","6.74"
"2014-02-09","6.678"
"2014-03-11","6.674"
"2014-04-10","6.668"
"2014-05-10","6.789"
"2014-06-09","6.91"
"2014-07-09","7.101"
"2014-08-08","8.473"
"2014-09-07","9.017"
"2014-10-07","9.472"
"2014-11-06","9.748"
"2014-12-06","9.978"
"2015-01-05","10.632"
"2015-02-04","10.601"
"2015-03-06","10.828"
"2015-04-05","11.141"
"2015-05-05","11.377"
"2015-06-04","11.633"
"2015-07-04","11.762"
"2015-08-03","11.991"
"2015-09-02","12.13"
"2015-10-02","12.193"
"2015-11-01","12.389"
"2015-12-01","12.445"
"2015-12-31","11.495"
"2016-01-30","11.88"
"2016-02-29","12.056"
"2016-03-30","12.327"
"2016-04-29","12.488"
"2016-05-29","12.731"
"2016-06-28","12.857"
"2016-07-28","12.944"
"2016-08-27","14.318"
"2016-09-26","14.459"
"2016-10-26","14.806"
"2016-11-25","14.87"
"2016-12-25","16.725"
"2017-01-24","16.225"
"2017-02-23","16.087"
"2017-03-25","16.313"
"2017-04-24","17.045"
"2017-05-24","17.405"
"2017-06-23","18.092"
"2017-07-23","18.83"
"2017-08-22","20.331"
"2017-09-21","20.809"
"2017-10-21","20.982"
"2017-11-20","22.107"
"2017-12-20","23.86"
"2018-01-19","25.011"
"2018-02-18","25.198"
"2018-03-20","25.154"
"2018-04-19","25.147"
"2018-05-19","26.266"
"2018-06-18","26.313"
"2018-07-18","27.24"
"2018-08-17","31.553"
"2018-09-16","34.06"
"2018-10-16","35.584"
"2018-11-15","36.252"
"2018-12-15","37.019"
"2019-01-14","37.179"
"2019-02-13","37.806"
"2019-03-15","38.585"
"2019-04-14","41.131"
"2019-05-14","43.62"
"2019-06-13","44.19"
"2019-07-13","46.898"
"2019-08-12","47.99"
"2019-09-11","48.071"
"2019-10-11","49.408"
"2019-11-10","50.124"
"2019-12-10","49.712"
"2020-01-09","50.554"
"2020-02-08","51.932"
"2020-03-09","53.163"
"2020-04-08","53.378"
"2020-06-07","60.891"
"2020-07-07","61.596"
"2020-08-06","72.649"
"2020-10-05","78.606"
"2020-11-04","69.012"
"2020-12-04","72.372"
"2021-01-03","67.038"
"2021-02-02","73.134"
"2021-03-04","67.498"
"2021-04-03","55.963"
"2021-05-03","82.011"
"2021-06-02","81.07"
"2021-07-02","87.898"
"2021-08-01","90.423"
"2021-08-31","88.315"
"2021-09-30","90.345"
"2021-10-30","92.414"
"2021-11-29","95.252"
"2021-12-29","95.732"
"2022-01-28","94.123"
"2022-02-27","96.556"
"2022-03-29","99.724"
"2022-04-28","102.507"
"2022-05-28","104.8"
"2022-06-27","108.381"
"2022-07-27","109.31"
"2022-08-26","110.107"
"2022-10-25","105.647"
"2022-11-24","108.405"
"2022-12-24","109.611"
"2023-01-23","112.188"
"2023-02-22","121.496"
"2023-03-24","128.766"
"2023-04-23","154.369"
"2023-05-23","144.389"
"2023-06-22","135.344"
"2023-07-22","142.51"
