"dtime per day","Average speed (Mbps)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","26.356"
"2011-02-02","26.215"
"2011-02-03","26.247"
"2011-02-04","26.302"
"2011-02-05","26.475"
"2011-02-06","26.335"
"2011-02-07","26.193"
"2011-02-08","26.142"
"2011-02-09","26.355"
"2011-02-10","26.211"
"2011-02-11","26.267"
"2011-02-12","25.971"
"2011-02-13","26.455"
"2011-02-14","26.567"
"2011-02-15","26.656"
"2011-02-16","26.58"
"2011-02-17","26.584"
"2011-02-18","26.42"
"2011-02-19","26.456"
"2011-02-20","26.354"
"2011-02-21","26.441"
"2011-02-22","26.351"
"2011-02-23","26.03"
"2011-02-24","26.473"
"2011-02-25","26.383"
"2011-02-26","26.275"
"2011-02-27","26.095"
"2011-02-28","26.338"
"2011-03-01","25.983"
"2011-03-02","26.001"
"2011-03-03","25.78"
"2011-03-04","25.723"
"2011-03-05","26.208"
"2011-03-06","26.012"
"2011-03-07","26.013"
"2011-03-08","26.164"
"2011-03-09","25.753"
"2011-03-10","25.839"
"2011-03-11","25.781"
"2011-03-12","25.739"
"2011-03-13","25.861"
"2011-03-14","25.891"
"2011-03-15","25.681"
"2011-03-16","25.491"
"2011-03-17","25.437"
"2011-03-18","25.354"
"2011-03-19","25.301"
"2011-03-20","25.456"
"2011-03-21","25.442"
"2011-03-22","25.496"
"2011-03-23","25.44"
"2011-03-24","25.298"
"2011-03-25","25.451"
"2011-03-26","25.342"
"2011-03-27","25.337"
"2011-03-28","25.539"
"2011-03-29","25.475"
"2011-03-30","25.409"
"2011-03-31","25.419"
"2011-04-01","25.321"
"2011-04-02","25.301"
"2011-04-03","25.411"
