"dtime per day","Average latency (ms)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","1,344.866"
"2011-02-02","1,380.667"
"2011-02-03","1,380.417"
"2011-02-04","1,314.516"
"2011-02-05","1,273.296"
"2011-02-06","1,274.103"
"2011-02-07","1,369.782"
"2011-02-08","1,356.744"
"2011-02-09","1,353.076"
"2011-02-10","1,349.345"
"2011-02-11","1,364.742"
"2011-02-12","1,313.786"
"2011-02-13","1,201.659"
"2011-02-14","1,290.775"
"2011-02-15","1,376.814"
"2011-02-16","1,352.925"
"2011-02-17","1,369.822"
"2011-02-18","1,384.09"
"2011-02-19","1,370.381"
"2011-02-20","1,359.214"
"2011-02-21","1,386.714"
"2011-02-22","1,402.744"
"2011-02-23","1,324.961"
"2011-02-24","1,356.422"
"2011-02-25","1,377.657"
"2011-02-26","1,368.973"
"2011-02-27","1,468.051"
"2011-02-28","1,478.667"
"2011-03-01","1,430.504"
"2011-03-02","1,429.851"
"2011-03-03","1,346.51"
"2011-03-04","1,359.58"
"2011-03-05","1,413.906"
"2011-03-06","1,353.591"
"2011-03-07","1,347.543"
"2011-03-08","1,331.804"
"2011-03-09","1,349.409"
"2011-03-10","1,461.124"
"2011-03-11","1,480.986"
"2011-03-12","1,486.791"
"2011-03-13","1,525.546"
"2011-03-14","1,491.926"
"2011-03-15","1,482.138"
"2011-03-16","1,350.21"
"2011-03-17","1,347.739"
"2011-03-18","1,457.07"
"2011-03-19","1,458.103"
"2011-03-20","1,444.027"
"2011-03-21","1,441.699"
"2011-03-22","1,439.088"
"2011-03-23","1,464.389"
"2011-03-24","1,350.578"
"2011-03-25","1,350.015"
