"dtime per day","Average latency (ms)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","258.844"
"2011-02-02","266.084"
"2011-02-03","261.215"
"2011-02-04","248.865"
"2011-02-05","248.059"
"2011-02-06","251.616"
"2011-02-07","259.386"
"2011-02-08","257.95"
"2011-02-09","258.352"
"2011-02-10","263.263"
"2011-02-11","260.514"
"2011-02-12","251.442"
"2011-02-13","231.773"
"2011-02-14","245.66"
"2011-02-15","264.193"
"2011-02-16","260.169"
"2011-02-17","257.912"
"2011-02-18","261.421"
"2011-02-19","264.721"
"2011-02-20","258.849"
"2011-02-21","268.614"
"2011-02-22","272.383"
"2011-02-23","255.675"
"2011-02-24","257.064"
"2011-02-25","250.663"
"2011-02-26","245.425"
"2011-02-27","264.538"
"2011-02-28","262.265"
"2011-03-01","249.661"
"2011-03-02","248.071"
"2011-03-03","239.856"
"2011-03-04","241.179"
"2011-03-05","245.28"
"2011-03-06","247.158"
"2011-03-07","239.498"
"2011-03-08","233.127"
"2011-03-09","232.303"
"2011-03-10","255.854"
"2011-03-11","255.88"
"2011-03-12","256.082"
"2011-03-13","262.484"
"2011-03-14","253.394"
"2011-03-15","256.713"
"2011-03-16","231.659"
"2011-03-17","226.887"
"2011-03-18","245.152"
"2011-03-19","249.675"
"2011-03-20","250.964"
"2011-03-21","245.783"
"2011-03-22","250.882"
"2011-03-23","254.912"
"2011-03-24","227.669"
"2011-03-25","233.303"
"2011-03-26","214.703"
"2011-03-27","201.776"
"2011-03-28","248.48"
"2011-03-29","239.042"
"2011-03-30","212.417"
"2011-03-31","219.031"
"2011-04-01","228.113"
"2011-04-02","242.497"
"2011-04-03","254.326"
