"dtime per day","Average latency (ms)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","323.408"
"2011-02-02","331.137"
"2011-02-03","326.032"
"2011-02-04","316.465"
"2011-02-05","303.84"
"2011-02-06","305.027"
"2011-02-07","320.38"
"2011-02-08","317.523"
"2011-02-09","319.823"
"2011-02-10","324.033"
"2011-02-11","326.789"
"2011-02-12","316.512"
"2011-02-13","293.144"
"2011-02-14","304.958"
"2011-02-15","321.391"
"2011-02-16","320.854"
"2011-02-17","321.073"
"2011-02-18","327.592"
"2011-02-19","326.822"
"2011-02-20","322.467"
"2011-02-21","342.289"
"2011-02-22","343.728"
"2011-02-23","329.68"
"2011-02-24","340.388"
"2011-02-25","344.34"
"2011-02-26","340.753"
"2011-02-27","365.109"
"2011-02-28","366.371"
"2011-03-01","347.105"
"2011-03-02","346.833"
"2011-03-03","336.082"
"2011-03-04","339.043"
"2011-03-05","345.062"
"2011-03-06","332.164"
"2011-03-07","323.843"
"2011-03-08","310.125"
"2011-03-09","320.438"
"2011-03-10","361.157"
"2011-03-11","366.282"
"2011-03-12","368.308"
"2011-03-13","371.192"
"2011-03-14","366.796"
"2011-03-15","365.551"
"2011-03-16","326.776"
"2011-03-17","324.27"
"2011-03-18","344.376"
"2011-03-19","343.124"
"2011-03-20","347.377"
"2011-03-21","348.167"
"2011-03-22","352.526"
"2011-03-23","354.021"
"2011-03-24","324.088"
"2011-03-25","322.617"
"2011-03-26","292.189"
"2011-03-27","273.922"
"2011-03-28","333.439"
"2011-03-29","327.023"
"2011-03-30","298.538"
"2011-03-31","317.291"
"2011-04-01","320.993"
"2011-04-02","347.779"
"2011-04-03","357.955"
