"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2011-01-01",null,null,null
"2011-02-01","34.93%","30.45%","34.62%"
"2011-03-01","41.26%","27.73%","31.02%"
"2011-04-01","40.22%","28.20%","31.58%"
"2011-05-01","39.54%","28.15%","32.31%"
"2011-06-01","37.59%","28.97%","33.44%"
"2011-07-01","38.60%","29.45%","31.95%"
"2011-08-01","41.99%","27.87%","30.15%"
"2011-09-01","35.40%","30.27%","34.33%"
"2011-10-01","31.25%","31.94%","36.82%"
"2011-11-01","31.23%","31.53%","37.24%"
"2011-12-01","30.98%","31.14%","37.88%"
"2012-01-01","27.23%","30.98%","41.79%"
"2012-02-01","28.35%","30.17%","41.48%"
"2012-03-01","28.01%","30.90%","41.09%"
"2012-04-01","30.93%","32.82%","36.24%"
"2012-05-01","31.52%","32.41%","36.07%"
"2012-06-01","30.91%","32.63%","36.46%"
"2012-07-01","31.03%","32.95%","36.02%"
"2012-08-01","31.26%","32.33%","36.41%"
"2012-09-01","30.62%","32.85%","36.53%"
"2012-10-01","31.32%","32.30%","36.38%"
"2012-11-01","31.01%","32.61%","36.37%"
"2012-12-01","30.53%","33.34%","36.12%"
"2013-01-01","29.67%","33.26%","37.07%"
"2013-02-01","30.56%","32.46%","36.98%"
"2013-03-01","31.17%","32.50%","36.32%"
"2013-04-01","35.22%","30.39%","34.38%"
"2013-05-01","37.51%","29.27%","33.22%"
"2013-06-01","37.89%","28.80%","33.31%"
"2013-07-01","38.48%","28.48%","33.04%"
"2013-08-01","38.88%","27.79%","33.33%"
"2013-09-01","39.36%","27.23%","33.41%"
"2013-10-01","39.76%","27.01%","33.23%"
"2013-11-01","40.02%","26.98%","32.99%"
"2013-12-01","41.19%","26.38%","32.43%"
"2014-01-01","40.10%","27.42%","32.48%"
"2014-02-01","40.00%","27.13%","32.87%"
"2014-03-01","41.72%","26.46%","31.83%"
"2014-04-01","41.72%","26.22%","32.07%"
"2014-05-01","41.58%","26.15%","32.27%"
"2014-06-01","39.76%","27.41%","32.83%"
"2014-07-01","40.06%","26.69%","33.25%"
"2014-08-01","41.92%","25.41%","32.67%"
"2014-09-01","41.67%","25.68%","32.65%"
"2014-10-01","41.42%","26.03%","32.54%"
"2014-11-01","40.87%","26.34%","32.78%"
"2014-12-01","41.15%","26.24%","32.61%"
"2015-01-01","38.24%","27.28%","34.48%"
"2015-02-01","38.15%","27.53%","34.32%"
"2015-03-01","39.47%","26.44%","34.09%"
"2015-04-01","40.29%","26.01%","33.69%"
"2015-05-01","40.42%","26.28%","33.30%"
"2015-06-01","40.86%","26.06%","33.08%"
"2015-07-01","41.36%","25.58%","33.05%"
"2015-08-01","41.68%","25.62%","32.70%"
"2015-09-01","43.37%","24.60%","32.03%"
"2015-10-01","43.67%","24.86%","31.47%"
"2015-11-01","42.99%","25.55%","31.46%"
"2015-12-01","43.13%","25.67%","31.19%"
"2016-01-01","46.35%","25.66%","27.99%"
"2016-02-01","47.34%","25.29%","27.37%"
"2016-03-01","47.99%","25.01%","27.00%"
"2016-04-01","48.32%","24.93%","26.76%"
"2016-05-01","48.34%","25.03%","26.63%"
"2016-06-01","48.70%","24.88%","26.42%"
"2016-07-01","48.38%","25.06%","26.55%"
