"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2011-01-01",null,null,null
"2011-02-01","19.41%","50.48%","30.11%"
"2011-03-01","23.73%","47.83%","28.44%"
"2011-04-01","20.37%","50.17%","29.47%"
"2011-05-01","18.41%","51.41%","30.18%"
"2011-06-01","14.00%","54.47%","31.52%"
"2011-07-01","14.52%","55.72%","29.76%"
"2011-08-01","15.13%","54.03%","30.84%"
"2011-09-01","12.29%","55.99%","31.72%"
"2011-10-01","11.14%","56.32%","32.54%"
"2011-11-01","11.82%","55.55%","32.63%"
"2011-12-01","12.22%","58.08%","29.70%"
"2012-01-01","11.48%","56.66%","31.86%"
"2012-02-01","10.19%","53.82%","35.99%"
"2012-03-01","16.04%","43.01%","40.96%"
"2012-04-01","23.75%","46.21%","30.03%"
"2012-05-01","24.69%","45.20%","30.11%"
"2012-06-01","25.63%","43.78%","30.59%"
"2012-07-01","25.35%","44.26%","30.39%"
"2012-08-01","25.53%","43.68%","30.79%"
"2012-09-01","24.31%","44.33%","31.36%"
"2012-10-01","24.30%","44.96%","30.73%"
"2012-11-01","26.08%","43.56%","30.36%"
"2012-12-01","24.07%","45.08%","30.85%"
"2013-01-01","24.32%","44.55%","31.14%"
"2013-02-01","23.66%","45.27%","31.07%"
"2013-03-01","23.78%","46.15%","30.07%"
"2013-04-01","24.90%","45.66%","29.45%"
"2013-05-01","24.48%","47.38%","28.14%"
"2013-06-01","24.95%","48.09%","26.95%"
"2013-07-01","25.17%","47.59%","27.24%"
"2013-08-01","25.34%","47.32%","27.33%"
"2013-09-01","24.87%","46.31%","28.82%"
"2013-10-01","23.47%","46.63%","29.90%"
"2013-11-01","22.35%","46.77%","30.87%"
"2013-12-01","22.19%","47.63%","30.18%"
"2014-01-01","21.70%","49.24%","29.06%"
"2014-02-01","21.42%","49.25%","29.34%"
"2014-03-01","23.26%","48.09%","28.64%"
"2014-04-01","24.00%","48.38%","27.61%"
"2014-05-01","24.75%","48.72%","26.53%"
"2014-06-01","23.84%","49.59%","26.56%"
"2014-07-01","25.15%","48.02%","26.83%"
"2014-08-01","34.45%","43.45%","22.10%"
"2014-09-01","35.94%","46.07%","17.99%"
"2014-10-01","35.18%","48.67%","16.15%"
"2014-11-01","35.52%","49.70%","14.78%"
"2014-12-01","35.29%","50.36%","14.35%"
"2015-01-01","36.74%","50.00%","13.26%"
"2015-02-01","36.71%","48.75%","14.54%"
"2015-03-01","36.07%","48.77%","15.15%"
"2015-04-01","37.51%","47.50%","14.99%"
"2015-05-01","37.10%","47.95%","14.96%"
"2015-06-01","37.22%","48.20%","14.58%"
"2015-07-01","37.99%","47.57%","14.44%"
"2015-08-01","37.58%","47.93%","14.50%"
"2015-09-01","39.32%","46.48%","14.19%"
"2015-10-01","40.01%","46.10%","13.89%"
"2015-11-01","39.68%","46.19%","14.13%"
"2015-12-01","40.62%","46.11%","13.27%"
"2016-01-01","40.45%","45.59%","13.96%"
"2016-02-01","43.76%","43.91%","12.33%"
"2016-03-01","43.53%","44.01%","12.46%"
"2016-04-01","40.31%","44.41%","15.28%"
"2016-05-01","45.38%","42.47%","12.15%"
"2016-06-01","47.90%","41.27%","10.82%"
"2016-07-01",null,null,null
"2016-08-01","40.44%","44.06%","15.50%"
"2016-09-01","36.67%","46.63%","16.71%"
"2016-10-01","37.11%","46.89%","16.00%"
"2016-11-01","37.44%","47.55%","15.01%"
"2016-12-01","37.49%","48.41%","14.11%"
"2017-01-01","36.34%","49.01%","14.65%"
"2017-02-01","36.19%","49.70%","14.11%"
"2017-03-01","37.38%","49.12%","13.50%"
"2017-04-01","38.37%","48.96%","12.68%"
"2017-05-01","37.86%","49.73%","12.40%"
"2017-06-01","38.23%","49.17%","12.61%"
"2017-07-01","40.21%","47.68%","12.11%"
