"dtime per week","Average speed (Mbps)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","13.104"
"2011-02-07","13.221"
"2011-02-14","13.45"
"2011-02-21","13.257"
"2011-02-28","13.118"
"2011-03-07","12.883"
"2011-03-14","12.646"
"2011-03-21","12.589"
"2011-03-28","12.748"
"2011-04-04","12.741"
"2011-04-11","12.873"
"2011-04-18","12.851"
"2011-04-25","12.977"
"2011-05-02",13
"2011-05-09","12.997"
"2011-05-16","13.005"
"2011-05-23","13.105"
"2011-05-30","13.105"
"2011-06-06","13.142"
"2011-06-13","13.256"
"2011-06-20","13.229"
"2011-06-27","13.288"
"2011-07-04","13.284"
"2011-07-11","13.37"
"2011-07-18","13.398"
"2011-07-25","13.271"
"2011-08-01","13.312"
"2011-08-08","13.315"
"2011-08-15","13.3"
"2011-08-22","13.402"
"2011-08-29","13.365"
"2011-09-05","13.349"
"2011-09-12","13.887"
"2011-09-19","14.303"
"2011-09-26","14.278"
"2011-10-03","14.372"
"2011-10-10","14.354"
"2011-10-17","14.392"
"2011-10-24","14.465"
"2011-10-31","14.512"
"2011-11-07","14.582"
"2011-11-14","14.737"
"2011-11-21","14.83"
"2011-11-28","14.91"
"2011-12-05","15.07"
"2011-12-12","15.152"
"2011-12-19","15.308"
"2011-12-26","15.178"
"2012-01-02","15.008"
"2012-01-09","15.051"
"2012-01-16","15.082"
"2012-01-23","15.345"
"2012-01-30","15.591"
"2012-02-06","15.429"
"2012-02-13","15.394"
"2012-02-20","15.555"
"2012-02-27","15.715"
"2012-03-05","15.612"
"2012-03-12","15.693"
"2012-03-19","15.875"
"2012-03-26","16.177"
"2012-04-02","16.421"
"2012-04-09","16.293"
"2012-04-16","16.396"
"2012-04-23","16.467"
"2012-04-30","16.549"
"2012-05-07","16.603"
"2012-05-14","16.657"
"2012-05-21","16.846"
"2012-05-28","16.934"
"2012-06-04","16.955"
"2012-06-11","16.937"
"2012-06-18","17.024"
"2012-06-25","17.122"
"2012-07-02","17.121"
"2012-07-09","17.157"
"2012-07-16","17.165"
"2012-07-23","17.236"
"2012-07-30","17.407"
"2012-08-06","17.658"
"2012-08-13","17.516"
"2012-08-20","17.553"
"2012-08-27","17.875"
"2012-09-03","17.896"
"2012-09-10","18.434"
"2012-09-17","18.529"
"2012-09-24","18.997"
"2012-10-01","19.206"
"2012-10-08","19.165"
"2012-10-15","19.289"
"2012-10-22","19.392"
"2012-10-29","18.634"
"2012-11-05","19.23"
"2012-11-12","19.351"
"2012-11-19","19.547"
"2012-11-26","20.059"
"2012-12-03","20.205"
"2012-12-10","20.227"
"2012-12-17","20.157"
"2012-12-24","20.055"
"2012-12-31","19.973"
"2013-01-07","20.177"
"2013-01-14","20.374"
"2013-01-21","20.417"
"2013-01-28","20.624"
"2013-02-04","20.73"
"2013-02-11","20.882"
"2013-02-18","20.85"
"2013-02-25","21.098"
"2013-03-04","21.318"
"2013-03-11","21.178"
"2013-03-18","21.36"
"2013-03-25","21.704"
"2013-04-01","21.864"
"2013-04-08","22.29"
"2013-04-15","22.571"
"2013-04-22","22.813"
"2013-04-29","22.85"
"2013-05-06","22.666"
"2013-05-13","22.854"
"2013-05-20","22.819"
"2013-05-27","22.717"
"2013-06-03","22.931"
"2013-06-10","23.078"
"2013-06-17","23.115"
"2013-06-24","23.405"
"2013-07-01","23.586"
"2013-07-08","23.648"
"2013-07-15","24.118"
"2013-07-22","24.228"
"2013-07-29","24.339"
"2013-08-05","24.568"
"2013-08-12","24.797"
"2013-08-19","24.878"
"2013-08-26","25.245"
"2013-09-02","25.609"
"2013-09-09","26.043"
"2013-09-16","25.987"
"2013-09-23","26.275"
"2013-09-30","26.38"
"2013-10-07","26.507"
"2013-10-14","26.577"
"2013-10-21","26.74"
"2013-10-28","26.921"
"2013-11-04","26.852"
"2013-11-11","26.9"
"2013-11-18","27.058"
"2013-11-25","27.265"
"2013-12-02","27.132"
"2013-12-09","27.224"
"2013-12-16","27.251"
"2013-12-23","27.064"
"2013-12-30","26.936"
"2014-01-06","27.164"
"2014-01-13","27.378"
"2014-01-20","27.19"
"2014-01-27","27.378"
"2014-02-03","27.453"
"2014-02-10","27.476"
"2014-02-17","27.608"
"2014-02-24","27.553"
"2014-03-03","27.616"
"2014-03-10","27.402"
"2014-03-17","27.643"
"2014-03-24","28.305"
"2014-03-31","28.369"
"2014-04-07","28.551"
"2014-04-14","28.772"
