"dtime per week","Average latency (ms)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","315.672"
"2011-02-07","322.476"
"2011-02-14","315.881"
"2011-02-21","300.784"
"2011-02-28","317.041"
"2011-03-07","299.887"
"2011-03-14","291.484"
"2011-03-21","274.84"
"2011-03-28","279.25"
"2011-04-04","287.606"
"2011-04-11","302.551"
"2011-04-18","303.732"
"2011-04-25","292.046"
"2011-05-02","284.932"
"2011-05-09","290.778"
"2011-05-16","308.929"
"2011-05-23","309.496"
"2011-05-30","313.118"
"2011-06-06","315.123"
"2011-06-13","313.088"
"2011-06-20","313.433"
"2011-06-27","304.863"
"2011-07-04","291.174"
"2011-07-11","291.118"
"2011-07-18","299.433"
"2011-07-25","299.469"
"2011-08-01","296.1"
"2011-08-08","294.55"
"2011-08-15","291.989"
"2011-08-22","302.531"
"2011-08-29","310.826"
"2011-09-05","315.696"
"2011-09-12","307.355"
"2011-09-19","306.59"
"2011-09-26","311.477"
"2011-10-03","310.684"
"2011-10-10","309.267"
"2011-10-17","304.945"
"2011-10-24","300.564"
"2011-10-31","300.475"
"2011-11-07","305.192"
"2011-11-14","311.131"
"2011-11-21","309.474"
"2011-11-28","301.232"
"2011-12-05","294.593"
"2011-12-12","290.887"
"2011-12-19","282.587"
"2011-12-26","272.794"
"2012-01-02","278.983"
"2012-01-09","302.765"
"2012-01-16","314.621"
"2012-01-23","323.657"
"2012-01-30","330.058"
"2012-02-06","336.438"
"2012-02-13","344.728"
"2012-02-20","343.286"
"2012-02-27","355.97"
"2012-03-05","383.077"
"2012-03-12","374.539"
"2012-03-19","359.858"
"2012-03-26","313.265"
"2012-04-02","271.59"
"2012-04-09","271.354"
"2012-04-16","272.68"
"2012-04-23","269.478"
"2012-04-30","267.438"
"2012-05-07","264.065"
"2012-05-14","266.073"
"2012-05-21","270.31"
"2012-05-28","269.349"
"2012-06-04","265.568"
"2012-06-11","264.922"
"2012-06-18","268.77"
"2012-06-25","261.295"
"2012-07-02","264.1"
"2012-07-09","266.941"
"2012-07-16","267.997"
"2012-07-23","268.013"
"2012-07-30","270.068"
"2012-08-06","268.863"
"2012-08-13","268.509"
"2012-08-20","272.306"
"2012-08-27","275.541"
"2012-09-03","278.554"
"2012-09-10","280.016"
"2012-09-17","271.522"
"2012-09-24","270.124"
"2012-10-01","265.474"
"2012-10-08","263.134"
"2012-10-15","263.796"
"2012-10-22","258.829"
"2012-10-29","264.789"
"2012-11-05","257.816"
"2012-11-12","255.007"
"2012-11-19","251.524"
"2012-11-26","260.355"
"2012-12-03","263.04"
"2012-12-10","261.012"
"2012-12-17","264.738"
"2012-12-24","264.972"
"2012-12-31","270.927"
"2013-01-07","267.803"
"2013-01-14","272.645"
"2013-01-21","269.891"
"2013-01-28","269.266"
"2013-02-04","275.228"
"2013-02-11","271.964"
"2013-02-18","268.297"
"2013-02-25","263.417"
"2013-03-04","265.289"
"2013-03-11","263.82"
"2013-03-18","263.366"
"2013-03-25","263.321"
"2013-04-01","266.848"
"2013-04-08","268.624"
"2013-04-15","261.83"
"2013-04-22","270.957"
"2013-04-29","268.66"
"2013-05-06","262.503"
"2013-05-13","259.986"
"2013-05-20","254.565"
"2013-05-27","251.116"
"2013-06-03","244.2"
"2013-06-10","253.231"
"2013-06-17","246.789"
"2013-06-24","240.934"
"2013-07-01","242.091"
"2013-07-08","247.557"
"2013-07-15","253.063"
"2013-07-22","261.024"
"2013-07-29","265.404"
"2013-08-05","260.632"
"2013-08-12","251.641"
"2013-08-19","250.341"
"2013-08-26","253.657"
"2013-09-02","256.101"
"2013-09-09","256.344"
"2013-09-16","260.098"
"2013-09-23","261.862"
"2013-09-30","263.367"
"2013-10-07","264.358"
"2013-10-14","263.251"
"2013-10-21","265.614"
"2013-10-28","266.598"
"2013-11-04","274.43"
"2013-11-11","273.093"
"2013-11-18","271.682"
"2013-11-25","266.866"
"2013-12-02","267.139"
"2013-12-09","262.078"
"2013-12-16","260.777"
"2013-12-23","263.429"
"2013-12-30","256.556"
"2014-01-06","245.771"
"2014-01-13","246.378"
"2014-01-20","248.252"
"2014-01-27","249.584"
"2014-02-03","256.504"
"2014-02-10","257.038"
"2014-02-17","257.366"
"2014-02-24","258.704"
"2014-03-03","258.837"
"2014-03-10","254.647"
"2014-03-17","252.357"
"2014-03-24","252.363"
"2014-03-31","253.326"
"2014-04-07","252.209"
"2014-04-14","251.903"
