"dtime per week","Average latency (ms)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","255.805"
"2011-02-07","254.716"
"2011-02-14","259.108"
"2011-02-21","258.791"
"2011-02-28","247.495"
"2011-03-07","248.44"
"2011-03-14","244.995"
"2011-03-21","232.925"
"2011-03-28","234.442"
"2011-04-04","241.466"
"2011-04-11","247.138"
"2011-04-18","239.834"
"2011-04-25","239.671"
"2011-05-02","244.359"
"2011-05-09","225.91"
"2011-05-16","253.238"
"2011-05-23","247.776"
"2011-05-30","249.788"
"2011-06-06","251.67"
"2011-06-13","249.739"
"2011-06-20","243.439"
"2011-06-27","239.222"
"2011-07-04","236.901"
"2011-07-11","237.218"
"2011-07-18","237.642"
"2011-07-25","240.359"
"2011-08-01","239.481"
"2011-08-08","243.132"
"2011-08-15","242.35"
"2011-08-22","223.338"
"2011-08-29","231.774"
"2011-09-05","232.737"
"2011-09-12","269.693"
"2011-09-19","283.117"
"2011-09-26","283.87"
"2011-10-03","286.69"
"2011-10-10","285.746"
"2011-10-17","286.87"
"2011-10-24","290.351"
"2011-10-31","294.682"
"2011-11-07","293.416"
"2011-11-14","299.597"
"2011-11-21","304.161"
"2011-11-28","308.62"
"2011-12-05","308.168"
"2011-12-12","303.659"
"2011-12-19","305.132"
"2011-12-26","316.309"
"2012-01-02","340.352"
"2012-01-09","340.23"
"2012-01-16","356.688"
"2012-01-23","370.016"
"2012-01-30","354.626"
"2012-02-06","363.621"
"2012-02-13","366.565"
"2012-02-20","356.352"
"2012-02-27","351.603"
"2012-03-05","361.575"
"2012-03-12","369.933"
"2012-03-19","371.497"
"2012-03-26","350.951"
"2012-04-02","334.962"
"2012-04-09","331.49"
"2012-04-16","328.694"
"2012-04-23","328.053"
"2012-04-30","326.408"
"2012-05-07","326.071"
"2012-05-14","323.313"
"2012-05-21","324.02"
"2012-05-28","324.807"
"2012-06-04","324.528"
"2012-06-11","322.123"
"2012-06-18","329.528"
"2012-06-25","332.234"
"2012-07-02","332.814"
"2012-07-09","331.427"
"2012-07-16","332.709"
"2012-07-23","327.168"
"2012-07-30","323.647"
"2012-08-06","323.085"
"2012-08-13","323.577"
"2012-08-20","325.077"
"2012-08-27","331.53"
"2012-09-03","330.019"
"2012-09-10","320.593"
"2012-09-17","321.749"
"2012-09-24","324.993"
"2012-10-01","322.477"
"2012-10-08","319.224"
"2012-10-15","318.695"
"2012-10-22","322.278"
"2012-10-29","320.571"
"2012-11-05","322.821"
"2012-11-12","322.85"
"2012-11-19","328.568"
"2012-11-26","324.619"
"2012-12-03","320.259"
"2012-12-10","317.708"
"2012-12-17","320.122"
"2012-12-24","320.438"
"2012-12-31","336.949"
"2013-01-07","338.894"
"2013-01-14","337.465"
"2013-01-21","334.388"
"2013-01-28","330.042"
"2013-02-04","331.78"
"2013-02-11","331.868"
"2013-02-18","336.625"
"2013-02-25","334.253"
"2013-03-04","332.888"
"2013-03-11","330.116"
"2013-03-18","325.043"
"2013-03-25","318.882"
"2013-04-01","308.61"
"2013-04-08","308.581"
"2013-04-15","302.567"
"2013-04-22","295.421"
"2013-04-29","285.465"
"2013-05-06","278.708"
"2013-05-13","275.603"
"2013-05-20","278.87"
"2013-05-27","280.974"
"2013-06-03","280.126"
"2013-06-10","282.563"
"2013-06-17","281.841"
"2013-06-24","280.336"
"2013-07-01","275.148"
"2013-07-08","275.025"
"2013-07-15","277.221"
"2013-07-22","275.137"
"2013-07-29","279.376"
"2013-08-05","282.03"
"2013-08-12","281.187"
"2013-08-19","280.216"
"2013-08-26","277.833"
"2013-09-02","279.522"
"2013-09-09","273.255"
"2013-09-16","275.837"
"2013-09-23","273.901"
"2013-09-30","274.822"
"2013-10-07","273.366"
"2013-10-14","269.708"
"2013-10-21","266.911"
"2013-10-28","266.47"
"2013-11-04","268.797"
"2013-11-11","268.153"
"2013-11-18","267.252"
"2013-11-25","265.73"
"2013-12-02","264.028"
"2013-12-09","260.437"
"2013-12-16","261.222"
"2013-12-23","264.158"
"2013-12-30","269.185"
"2014-01-06","266.864"
"2014-01-13","265.199"
"2014-01-20","269.227"
"2014-01-27","271.023"
"2014-02-03","272.549"
"2014-02-10","273.156"
"2014-02-17","270.749"
"2014-02-24","271.37"
"2014-03-03","269.099"
"2014-03-10","268.98"
"2014-03-17","267.849"
"2014-03-24","266.689"
"2014-03-31","268.552"
"2014-04-07","272.032"
"2014-04-14","270.964"
