"dtime per week","Average latency (ms)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","456.513"
"2011-02-07","455.007"
"2011-02-14","460.569"
"2011-02-21","522.757"
"2011-02-28","548.052"
"2011-03-07","556.006"
"2011-03-14","549.761"
"2011-03-21","509.813"
"2011-03-28","519.454"
"2011-04-04","553.699"
"2011-04-11","561.882"
"2011-04-18","544.617"
"2011-04-25","539.967"
"2011-05-02","555.675"
"2011-05-09","548.406"
"2011-05-16","597.269"
"2011-05-23","596.859"
"2011-05-30","583.078"
"2011-06-06","592.118"
"2011-06-13","589.224"
"2011-06-20","575.784"
"2011-06-27","568.647"
"2011-07-04","575.035"
"2011-07-11","570.113"
"2011-07-18","556.923"
"2011-07-25","553.04"
"2011-08-01","549.782"
"2011-08-08","547.616"
"2011-08-15","539.655"
"2011-08-22","518.743"
"2011-08-29","523.929"
"2011-09-05","533.125"
"2011-09-12","450.954"
"2011-09-19","431.175"
"2011-09-26","439.488"
"2011-10-03","431.416"
"2011-10-10","434.217"
"2011-10-17","440.517"
"2011-10-24","446.759"
"2011-10-31","440.554"
"2011-11-07","429.073"
"2011-11-14","429.692"
"2011-11-21","418.33"
"2011-11-28","425.568"
"2011-12-05","429.027"
"2011-12-12","442.142"
"2011-12-19","448.363"
"2011-12-26","439.775"
"2012-01-02","445.393"
"2012-01-09","449.217"
"2012-01-16","455.48"
"2012-01-23","471.494"
"2012-01-30","464.025"
"2012-02-06","454.195"
"2012-02-13","445.426"
"2012-02-20","432.641"
"2012-02-27","426.358"
"2012-03-05","432.753"
"2012-03-12","458.553"
"2012-03-19","443.444"
"2012-03-26","427.871"
"2012-04-02","426.411"
"2012-04-09","420.694"
"2012-04-16","424.911"
"2012-04-23","413.448"
"2012-04-30","413.737"
"2012-05-07","415.383"
"2012-05-14","429.274"
"2012-05-21","433.947"
"2012-05-28","442.313"
"2012-06-04","437.852"
"2012-06-11","434.134"
"2012-06-18","426.249"
"2012-06-25","411.762"
"2012-07-02","414.067"
"2012-07-09","416.477"
"2012-07-16","424.807"
"2012-07-23","430.792"
"2012-07-30","428.975"
"2012-08-06","434.314"
"2012-08-13","431.44"
"2012-08-20","429.927"
"2012-08-27","431.77"
"2012-09-03","435.52"
"2012-09-10","435.811"
"2012-09-17","440.232"
"2012-09-24","441.018"
"2012-10-01","445.982"
"2012-10-08","443.036"
"2012-10-15","445.691"
"2012-10-22","452.895"
"2012-10-29","445.292"
"2012-11-05","452.569"
"2012-11-12","455.497"
"2012-11-19","442.088"
"2012-11-26","427.337"
"2012-12-03","427.434"
"2012-12-10","425.43"
"2012-12-17","427.946"
"2012-12-24","425.328"
"2012-12-31","441.259"
"2013-01-07","430.112"
"2013-01-14","437.162"
"2013-01-21","438.319"
"2013-01-28","439.529"
"2013-02-04","444.026"
"2013-02-11","441.732"
"2013-02-18","441.293"
"2013-02-25","439.146"
"2013-03-04","430.275"
"2013-03-11","443.989"
"2013-03-18","446.702"
"2013-03-25","444.426"
"2013-04-01","437.77"
"2013-04-08","448.178"
"2013-04-15","450.604"
"2013-04-22","444.273"
"2013-04-29","444.857"
"2013-05-06","438.509"
"2013-05-13","432.577"
"2013-05-20","438.504"
"2013-05-27","436.757"
"2013-06-03","433.911"
"2013-06-10","431.703"
"2013-06-17","428.053"
"2013-06-24","428.309"
"2013-07-01","430.978"
"2013-07-08","430.014"
"2013-07-15","426.038"
"2013-07-22","436.933"
"2013-07-29","429.189"
"2013-08-05","440.651"
"2013-08-12","439.155"
"2013-08-19","434.387"
"2013-08-26","437.717"
"2013-09-02","439.875"
"2013-09-09","431.32"
"2013-09-16","428.316"
"2013-09-23","420.005"
"2013-09-30","415.756"
"2013-10-07","412.96"
"2013-10-14","413.926"
"2013-10-21","412.151"
"2013-10-28","411.474"
"2013-11-04","405.612"
"2013-11-11","400.712"
"2013-11-18","400.775"
"2013-11-25","399.478"
"2013-12-02","398.249"
"2013-12-09","391.469"
"2013-12-16","388.43"
"2013-12-23","394.908"
"2013-12-30","387.023"
"2014-01-06","385.494"
"2014-01-13","394.047"
"2014-01-20","392.344"
"2014-01-27","394.791"
"2014-02-03","394.453"
"2014-02-10","396.519"
"2014-02-17","396.274"
"2014-02-24","382.57"
"2014-03-03","369.796"
"2014-03-10","369.751"
"2014-03-17","374.416"
"2014-03-24","374.681"
"2014-03-31","379.076"
"2014-04-07","374.93"
"2014-04-14","369.542"
