"dtime per week","Average speed (Mbps)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","2.254"
"2011-02-07","2.272"
"2011-02-14","2.298"
"2011-02-21","2.258"
"2011-02-28","2.163"
"2011-03-07","2.155"
"2011-03-14","2.133"
"2011-03-21","2.152"
"2011-03-28","2.178"
"2011-04-04","2.151"
"2011-04-11","2.17"
"2011-04-18","2.195"
"2011-04-25","2.233"
"2011-05-02","2.242"
"2011-05-09","2.264"
"2011-05-16","2.255"
"2011-05-23","2.291"
"2011-05-30","2.293"
"2011-06-06","2.286"
"2011-06-13","2.3"
"2011-06-20","2.305"
"2011-06-27","2.297"
"2011-07-04","2.307"
"2011-07-11","2.327"
"2011-07-18","2.32"
"2011-07-25","2.31"
"2011-08-01","2.292"
"2011-08-08","2.278"
"2011-08-15","2.315"
"2011-08-22","2.328"
"2011-08-29","2.32"
"2011-09-05","2.331"
"2011-09-12","2.313"
"2011-09-19","2.312"
"2011-09-26","2.315"
"2011-10-03","2.343"
"2011-10-10","2.351"
"2011-10-17","2.359"
"2011-10-24","2.362"
"2011-10-31","2.379"
"2011-11-07","2.387"
"2011-11-14","2.417"
"2011-11-21","2.481"
"2011-11-28","2.524"
"2011-12-05","2.585"
"2011-12-12","2.624"
"2011-12-19","2.645"
"2011-12-26","2.645"
"2012-01-02","2.627"
"2012-01-09","2.634"
"2012-01-16","2.64"
"2012-01-23","2.662"
"2012-01-30","2.711"
"2012-02-06","2.693"
"2012-02-13","2.693"
"2012-02-20","2.724"
"2012-02-27","2.746"
"2012-03-05","2.753"
"2012-03-12","2.754"
"2012-03-19","2.75"
"2012-03-26","2.75"
"2012-04-02","2.762"
"2012-04-09","2.78"
"2012-04-16","2.809"
"2012-04-23","2.812"
"2012-04-30","2.825"
"2012-05-07","2.842"
"2012-05-14","2.848"
"2012-05-21","2.851"
"2012-05-28","2.86"
"2012-06-04","2.861"
"2012-06-11","2.866"
"2012-06-18","2.861"
"2012-06-25","2.851"
"2012-07-02","2.854"
"2012-07-09","2.861"
"2012-07-16","2.856"
"2012-07-23","2.873"
"2012-07-30","2.909"
"2012-08-06","2.978"
"2012-08-13","2.938"
"2012-08-20","2.93"
"2012-08-27","2.985"
"2012-09-03","2.998"
"2012-09-10","2.998"
"2012-09-17","2.989"
"2012-09-24","3.007"
"2012-10-01","3.019"
"2012-10-08","3.017"
"2012-10-15","3.02"
"2012-10-22","3.035"
"2012-10-29","2.961"
"2012-11-05","3.007"
"2012-11-12","3.023"
"2012-11-19","3.027"
"2012-11-26","3.026"
"2012-12-03","3.033"
"2012-12-10","3.033"
"2012-12-17","3.043"
"2012-12-24","3.047"
"2012-12-31","3.018"
"2013-01-07","2.989"
"2013-01-14","2.978"
"2013-01-21","2.984"
"2013-01-28","3.072"
"2013-02-04","3.131"
"2013-02-11","3.145"
"2013-02-18","3.146"
"2013-02-25","3.147"
"2013-03-04","3.249"
"2013-03-11","3.208"
"2013-03-18","3.243"
"2013-03-25","3.344"
"2013-04-01","3.413"
"2013-04-08","3.504"
"2013-04-15","3.585"
"2013-04-22","3.654"
"2013-04-29","3.716"
"2013-05-06","3.73"
"2013-05-13","3.79"
"2013-05-20","3.843"
"2013-05-27","3.839"
"2013-06-03","3.873"
"2013-06-10","3.905"
"2013-06-17","3.944"
"2013-06-24","3.989"
"2013-07-01","4.001"
"2013-07-08","4.126"
"2013-07-15","4.467"
"2013-07-22","4.498"
"2013-07-29","4.513"
"2013-08-05","4.547"
"2013-08-12","4.625"
"2013-08-19","4.646"
"2013-08-26","4.702"
"2013-09-02","4.803"
"2013-09-09","4.938"
"2013-09-16","4.912"
"2013-09-23","4.94"
"2013-09-30","4.962"
"2013-10-07","5.006"
"2013-10-14","5.067"
"2013-10-21","5.123"
"2013-10-28","5.174"
"2013-11-04","5.135"
"2013-11-11","5.121"
"2013-11-18","5.164"
"2013-11-25","5.224"
"2013-12-02","5.257"
"2013-12-09","5.258"
"2013-12-16","5.287"
"2013-12-23","5.337"
"2013-12-30","5.339"
"2014-01-06","5.322"
"2014-01-13","5.342"
"2014-01-20","5.283"
"2014-01-27","5.343"
"2014-02-03","5.369"
"2014-02-10","5.331"
"2014-02-17","5.358"
"2014-02-24","5.347"
"2014-03-03","5.364"
"2014-03-10","5.353"
"2014-03-17","5.329"
"2014-03-24","5.386"
"2014-03-31","5.351"
"2014-04-07","5.303"
"2014-04-14","5.392"
