"dtime per week","Average latency (ms)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","27.05"
"2011-02-07","27.187"
"2011-02-14","26.711"
"2011-02-21","25.861"
"2011-02-28","25.686"
"2011-03-07","25.745"
"2011-03-14","26.106"
"2011-03-21","26.075"
"2011-03-28","25.972"
"2011-04-04","25.743"
"2011-04-11","25.841"
"2011-04-18","25.994"
"2011-04-25","25.604"
"2011-05-02","25.753"
"2011-05-09","26.031"
"2011-05-16","25.98"
"2011-05-23","25.548"
"2011-05-30","25.523"
"2011-06-06","25.439"
"2011-06-13","25.521"
"2011-06-20","25.555"
"2011-06-27","25.708"
"2011-07-04","25.733"
"2011-07-11","25.538"
"2011-07-18","25.634"
"2011-07-25","25.781"
"2011-08-01","25.923"
"2011-08-08","26.081"
"2011-08-15","26.428"
"2011-08-22","26.47"
"2011-08-29","26.689"
"2011-09-05","26.5"
"2011-09-12","25.796"
"2011-09-19","25.831"
"2011-09-26","26.001"
"2011-10-03","25.988"
"2011-10-10","26.001"
"2011-10-17","26.295"
"2011-10-24","26.671"
"2011-10-31","26.888"
"2011-11-07","26.325"
"2011-11-14","26.689"
"2011-11-21","27.327"
"2011-11-28","27.158"
"2011-12-05","26.528"
"2011-12-12","26.595"
"2011-12-19","26.563"
"2011-12-26","26.568"
"2012-01-02","26.754"
"2012-01-09","26.885"
"2012-01-16","26.907"
"2012-01-23","27.203"
"2012-01-30","27.012"
"2012-02-06","27.049"
"2012-02-13","27.004"
"2012-02-20","26.921"
"2012-02-27","27.136"
"2012-03-05","27.371"
"2012-03-12","27.618"
"2012-03-19","27.643"
"2012-03-26","27.209"
"2012-04-02","26.005"
"2012-04-09","26.223"
"2012-04-16","25.973"
"2012-04-23","25.229"
"2012-04-30","25.181"
"2012-05-07","25.174"
"2012-05-14","25.216"
"2012-05-21","24.941"
"2012-05-28","24.857"
"2012-06-04","25.198"
"2012-06-11","26.054"
"2012-06-18","25.636"
"2012-06-25","25.567"
"2012-07-02","25.447"
"2012-07-09","25.203"
"2012-07-16","25.037"
"2012-07-23","25.163"
"2012-07-30","24.984"
"2012-08-06","25.062"
"2012-08-13","25.259"
"2012-08-20","24.769"
"2012-08-27","24.383"
"2012-09-03","24.482"
"2012-09-10","25.143"
"2012-09-17","25.257"
"2012-09-24","25.2"
"2012-10-01","25.094"
"2012-10-08","25.187"
"2012-10-15","24.962"
"2012-10-22","24.977"
"2012-10-29","25.788"
"2012-11-05","25.213"
"2012-11-12","26.147"
"2012-11-19","25.12"
"2012-11-26","25.372"
"2012-12-03","25.794"
"2012-12-10","26.228"
"2012-12-17","26.436"
"2012-12-24","27.194"
"2012-12-31","27.738"
"2013-01-07","27.118"
"2013-01-14","27.262"
"2013-01-21","28.035"
"2013-01-28","27.575"
"2013-02-04","27.766"
"2013-02-11","27.488"
"2013-02-18","28.101"
"2013-02-25","27.836"
"2013-03-04","27.682"
"2013-03-11","28.735"
"2013-03-18","28.789"
"2013-03-25","28.803"
"2013-04-01","29.145"
"2013-04-08","28.836"
"2013-04-15","28.792"
"2013-04-22","28.765"
"2013-04-29","28.862"
"2013-05-06","29.404"
"2013-05-13","29.391"
"2013-05-20","29.341"
"2013-05-27","29.498"
"2013-06-03","29.303"
"2013-06-10","29.256"
"2013-06-17","28.959"
"2013-06-24","28.729"
"2013-07-01","28.862"
"2013-07-08","29.096"
"2013-07-15","29.108"
"2013-07-22","29.202"
"2013-07-29","29.206"
"2013-08-05","28.221"
"2013-08-12","28.145"
"2013-08-19","28.091"
"2013-08-26","27.344"
"2013-09-02","26.701"
"2013-09-09","26.874"
"2013-09-16","27.261"
"2013-09-23","27.008"
"2013-09-30","27.634"
"2013-10-07","27.734"
"2013-10-14","27.748"
"2013-10-21","27.303"
"2013-10-28","27.229"
"2013-11-04","27.308"
"2013-11-11","27.931"
"2013-11-18","27.803"
"2013-11-25","27.85"
"2013-12-02","28.162"
"2013-12-09","28.204"
"2013-12-16","28.176"
"2013-12-23","28.753"
"2013-12-30","30.313"
"2014-01-06","29.549"
"2014-01-13","29.231"
"2014-01-20","29.418"
"2014-01-27","28.732"
"2014-02-03","29.058"
"2014-02-10","29.202"
"2014-02-17","28.133"
"2014-02-24","27.451"
"2014-03-03","27.377"
"2014-03-10","27.452"
"2014-03-17","26.906"
"2014-03-24","26.756"
"2014-03-31","26.367"
"2014-04-07","26.833"
"2014-04-14","26.524"
